artist,_id
Cassidy,640216f33c1777e846da31ae
Cassidy,640297ce191b1ff16b14d34a
Cassidy,64061eb6f3780a5c866e99c3
Ma$e,640216f33c1777e846d998bf
Ma$e,64061eb6f3780a5c866e8030
Ma$e,64061eb6f3780a5c866ebdaf
Ma$e,64061eb6f3780a5c866ec48f
Immortal Technique,640216f33c1777e846d9deb4
Reflection Eternal,640216f33c1777e846d9395a
Foxy Brown,640216f43c1777e846da5cf2
Foxy Brown,64088cc85ccd393439b1ca60
Wiz Khalifa,640216f33c1777e846da1f02
Freeway,640216f33c1777e846d939e7
Freeway,640216f33c1777e846d9afbb
Freeway,640297cf191b1ff16b152ce0
Mobb Deep,640216f33c1777e846d9c360
Pitbull,640216f33c1777e846da15b6
Pitbull,640216f33c1777e846da1b00
Lloyd Banks,640216f33c1777e846d9dd0f
M.O.P.,640216f33c1777e846d9e3fd
M.O.P.,640216f33c1777e846da2452
Joell Ortiz,640216f33c1777e846d9c363
Joell Ortiz,640297cf191b1ff16b15ed31
Joell Ortiz,64061eb6f3780a5c866e6dfd
Everlast,640216f33c1777e846d959e9
Black Sheep,640216f33c1777e846d949e8
Black Sheep,640297ce191b1ff16b1409a3
Black Sheep,640a728b4faf717a5e7dae16
Vampire Weekend,640216f33c1777e846d91fe8
Gudda Gudda,640216f33c1777e846da3288
Dorrough Music,640297cf191b1ff16b15405e
Lil B,640216f33c1777e846d9c80b
Lil B,640216f33c1777e846da2765
Lil B,640297cf191b1ff16b151bf9
Lil B,640297cf191b1ff16b1554ef
Lil B,640297cf191b1ff16b159836
Slim Thug,640216f33c1777e846d9c6e0
Glasses Malone,640216f33c1777e846da30c1
Glasses Malone,640297cf191b1ff16b15d544
Crooked I,640297ce191b1ff16b149269
Crooked I,64061eb6f3780a5c866e824f
Crooked I,64088cc85ccd393439b15ed7
Crooked I,64088cc85ccd393439b1c884
Spice 1,640297ce191b1ff16b144274
Spice 1,64061eb6f3780a5c866edef9
Spice 1,64088cc85ccd393439b1845b
Tech N9ne,640216f33c1777e846da2f2b
GZA,640216f33c1777e846d97685
Mario,640216f33c1777e846da43fa
Mario,640297ce191b1ff16b14837f
Mario,640297cf191b1ff16b15880a
Mario,640297cf191b1ff16b159c94
Mario,64061eb6f3780a5c866e8c0d
Mario,64061eb6f3780a5c866eda25
Mario,64088cc85ccd393439b1a0aa
Rich Boy,640216f33c1777e846d9420e
DJ Jazzy Jeff,640216f33c1777e846d9fbf4
B.o.B,640216f33c1777e846d9901d
D12,640216f33c1777e846d9f654
E.S.G.,640297ce191b1ff16b148abb
Lakim Shabazz,64088cc85ccd393439b0ee20
Slick Rick,640216f33c1777e846da4e02
Naughty By Nature,640216f33c1777e846d963d9
Yasiin Bey,640216f33c1777e846d9b5ab
Insane Clown Posse,640216f33c1777e846da19ae
Bun B,640216f33c1777e846d9a33e
Bun B,640297ce191b1ff16b1460d1
Bun B,64061eb6f3780a5c866e8e7b
Bun B,64061eb6f3780a5c866ee97a
Bun B,64088cc85ccd393439b1a33d
Big Boi,640297cf191b1ff16b15c5c9
Timbaland,640216f33c1777e846d9bbfe
Sheek Louch,640216f33c1777e846d99435
Beastie Boys,640216f33c1777e846d9db71
Rick Ross,640216f33c1777e846d9e1af
Rick Ross,64088cc85ccd393439b11bac
Rick Ross,64088cc85ccd393439b1a2f5
Thug Life,640216f33c1777e846d99bd4
Special Ed,640297cf191b1ff16b15c298
Mr. Lif,640297ce191b1ff16b1479b5
Grandmaster Flash & The Furious Five,640216f33c1777e846da4d7b
Jamie Foxx,640216f43c1777e846da6a1a
Busta Rhymes,640216f33c1777e846d9d722
Pras,640216f33c1777e846d99ca5
MC Jin,64088cc85ccd393439b19842
Eric B. & Rakim,640216f33c1777e846d9ca9c
Waka Flocka Flame,640216f33c1777e846d9fe14
Black Star,640216f33c1777e846d9e08f
Justin Bieber,640216f33c1777e846d9e8b1
Method Man,640216f33c1777e846d9b730
Method Man,640297ce191b1ff16b1499b2
Method Man,64061eb6f3780a5c866eae22
Black Rob,640216f33c1777e846d95f24
Sway,640216f33c1777e846da188e
Sway,64061eb6f3780a5c866f5e02
Sway,64088cc85ccd393439b19c47
Sway,64088cc85ccd393439b1a18d
Sway,64088cc85ccd393439b1b4d2
Sway,640ccfce4f918c3c72c61795
Loaded Lux,640216f33c1777e846d9acf7
Loaded Lux,640216f33c1777e846da5246
Klashnekoff,640297ce191b1ff16b14c8c6
Masta Ace,640216f33c1777e846d9fd4e
Masta Ace,64088cc85ccd393439b16c40
The Streets,640216f33c1777e846d9fa15
Xzibit,640216f33c1777e846d993ae
Geto Boys,640216f33c1777e846da169a
David Banner,640297cf191b1ff16b15e106
Rakim,640216f33c1777e846da05bc
Atmosphere,640216f33c1777e846d927d1
Saul Williams,640216f33c1777e846d9a2c5
R. Kelly,640297ce191b1ff16b143fab
Queen,640216f33c1777e846d936e9
Queen,640297cf191b1ff16b1514dd
Snow,640216f33c1777e846d92287
Snow,640216f33c1777e846d9af8e
