artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['3hn8yka7b2gmK91nNqkQBz'],0ECFnkEkuRjqwZ479ngv5Q,La Verdadera Historia Vol. 2,2015,7.0,10.0
['3hn8yka7b2gmK91nNqkQBz'],0zSslN8iIm8kDc59DpfraB,20 Exitos,2013,2.0,21.0
['3hn8yka7b2gmK91nNqkQBz'],720StadM9kxgwxVhAqcZDI,"20 Exitos, Vol. 1",2009,3.0,9.0
['3hn8yka7b2gmK91nNqkQBz'],1BVik9MdYRVqjGK5P7ulZv,"20 Exitos, Vol. 2",2009,3.0,9.0
['3hn8yka7b2gmK91nNqkQBz'],3tuRULi1UcE2Uxvo4bJkFa,Mis Exitos en Vivo,2009,3.0,9.0
['3hn8yka7b2gmK91nNqkQBz'],0zHCrxSCd20LXV0cgwUzkR,Mix,2009,3.0,9.0
['3hn8yka7b2gmK91nNqkQBz'],33CLpvFuB0ltciTodGbVqG,Solo una Palabra Tengo,2009,3.0,9.0
['3hyGGjxu73JuzBa757H6R5'],2qobfbPVsiuJTUDtzJsbUc,The Jordan Lake Sessions: Volume 5,2022,11.0,18.0
['3hyGGjxu73JuzBa757H6R5'],20KGjm5xRROTqP0UY1EVRg,Bleed Out,2022,8.0,19.0
['3hyGGjxu73JuzBa757H6R5'],2oQ3dQki5q8qGmJdM9lAxu,The Jordan Lake Sessions: Volumes 3 and 4,2021,11.0,12.0
['3hyGGjxu73JuzBa757H6R5'],0pxREP6pt2DbPP7beBGCA4,Dark in Here,2021,6.0,25.0
['3hyGGjxu73JuzBa757H6R5'],5Xr0QFhH9HW6iP7ehtK5tX,The Jordan Lake Sessions: Volumes 1 and 2,2020,12.0,11.0
['3hyGGjxu73JuzBa757H6R5'],7vc7yVbrVGVAT22WbtLSyd,Getting Into Knives,2020,10.0,23.0
['3hyGGjxu73JuzBa757H6R5'],2FHXWD7j8HqJUQzA4ZrHDG,Songs for Pierre Chuvin,2020,4.0,17.0
