artist_name,artist_id,artist_popularity,artist_genres
Prophetic Poet,7xyghIyBG4OSAwUFKRLoZE,2,[]
Prophetic Warfare Music,2G5cx4bS8uFZ9DXLBbvNmN,1,[]
Prophetic Scourge,7BVzBiMMSC2RL6LdLzMzP8,2,['french death metal']
The Prophet,2iRqqPkOyIvvb7qFZN1Onz,57,"['classic hardstyle', 'euphoric hardstyle', 'happy hardcore', 'rawstyle']"
Prophétique,4uhsb1EuCyjawRUy9RXt6v,38,[]
Sidewalk Prophets,2SMYoM2Kbcj6rI6U3FRc4U,55,"['anthem worship', 'ccm', 'christian alternative rock', 'christian indie', 'christian music', 'worship']"
The Prophets,0q2REqMoWLDvuD0iR9Nxw6,25,[]
Prophet the Artist,0vXtpskNA5slWYQBsjlaJU,37,['new jersey underground rap']
The Prophet,2mhMtL2klntUcqDrc5X6Bv,18,[]
Prospect,3gePfgC469s6rOOiCTOODi,33,[]
Prospect_,02HbRfbf5QyejlaBu8h4iF,22,[]
Prospect Park,6ESWzTGR422yHzc0clYA9A,35,[]
The Mekanix,0sJOeCMBvIDiHJ9Ct5h7IF,38,"['cali rap', 'hyphy', 'west coast trap']"
The Mechanisms,6UE22SCOUOw9zE4ggbtiWa,43,['steampunk']
Tha Mechanic,4Nhqao0AUSRpuHCSVQA2my,39,['gym hardstyle']
Prospect,3gePfgC469s6rOOiCTOODi,33,[]
Prospect_,02HbRfbf5QyejlaBu8h4iF,22,[]
Prospect,0hGkgeJYQNjYM8ywM8uIcf,19,[]
Phoelix,2TKC2gVUNBUAlFqfLUoaj0,56,['indie hip hop']
The PropheC,4aopF0aU0Nbu5GtSorXV0W,65,"['desi hip hop', 'desi pop', 'punjabi pop']"
Thee Prophecy,2nm9YKNgSfq2SRWqBjdFQA,50,['meme rap']
Disfigure,6qS98hCc0GWwq1AShPNl2w,48,['gaming edm']
Prostitute Disfigurement,6oDgdmnIohUfYWdA2RcFng,19,"['brutal death metal', 'deathgrind', 'dutch death metal', 'dutch metal', 'goregrind']"
Disfiguring The Goddess,4KNivmUcgaar8yZvjYRoqv,31,"['brutal death metal', 'deathcore', 'pornogrind', 'progressive deathcore']"
Protest The Hero,6z3BjfmgvDUIHaJ0UPTtrQ,46,"['canadian metal', 'canadian post-hardcore', 'djent', 'melodic metalcore', 'progressive post-hardcore']"
