artist_name,artist_id,artist_popularity,artist_genres
Vorace,6nhy7WxxPMnjaDbLmEmgg0,8,[]
Verotic,7oNx1Z2EzXYxsEfAfQzd6D,8,[]
Voracity,31Ficogbm1WIamzBZy1Al1,1,[]
Wow Popy,6DwZmisccKHHGmMGnCn4yv,53,['cubaton']
Voidedd,06xDSWeyuEBm24S7xWvA7F,40,[]
POODEE,5RLeOjVBLjszghnQ29ZdiW,17,[]
Megga & Extremo,7vroD8nCh83aTjm7U7l8Ux,14,[]
Megan,0k2B1stvovWtEMiDU1EBEd,19,['acid techno']
Meggaman,0rT8tbrLu0RYQVaZaZZlU8,15,[]
Voodoo,0xB49yWHWlg8bUOpGj7O6C,14,[]
Voodoo B2B,0rUizLTy7SA5jX7ppRh0dL,12,[]
Voodoo,4zWIv7Q2EXm34i1GQLaBQ2,19,[]
vort vort,46mWoMwui62bv2s52HiSO8,39,[]
Vortex57,6v6ybWqQRBnQ029l8e0OJW,12,[]
Flux Vortex,1MNQjRAMxv130gsVbIbR0H,35,[]
VORANAH,3tiqYfeRIozfVNnniIB7ij,27,[]
Vorrnn,7CXwi3VstcrxGdYl772byW,15,[]
Vornagar,3LjPv8q6xcqd3oEaig0aMq,2,['technical melodic death metal']
Cota,2e1yGR8FqYaOz962igAVIM,26,[]
VOTA,5tCeQBUq8fmvwWtDjr6Sbc,12,"['christian alternative rock', 'christian music']"
Vot,6UtsctRdJVcXC8ZrukiZHm,14,[]
Heaven,0lXQcxJDOIav5WobpkW7aJ,47,[]
Whiteheart,22sg0OT5BG5eWLBN97WPIZ,32,"['christian metal', 'christian music', 'deep christian rock']"
Heaven,6RCXvdRNRMP9lsp6a1bY2U,32,[]
zvch,64fmp7FQFQ4ZTytATtHtIw,41,[]
Zach Hood,5aHlyw2WWqZW0HLICBuv7U,63,"['alt z', 'gen z singer-songwriter', 'pop']"
zachy,7MWQhu1TA9OE4Lps563bN4,40,[]
The Slumbering One,6zFp0HHOylks3A1Dv15j4e,58,[]
The Sleep Crew,2cwhQMikUipIptLocoKOMn,53,[]
