artist_name,artist_id,artist_popularity,artist_genres
Joey the Kid,46kfHR2rYhxAFoUt9SN4Iy,5,[]
Joe Hertler & The Rainbow Seekers,2bqcjvd6ETkqubaQnx3OtS,45,"['deep new americana', 'michigan indie']"
James Heather,7GMpkbegUlL4UvUe5w47zu,60,"['compositional ambient', 'focus', 'neo-classical']"
Niykee Heaton,63bCkf4n15jiKjHhLV7kSZ,55,"['alt z', 'dance pop', 'electropop', 'pop']"
Joe Martin,5o11IsGu9crJBiLe37pNWW,38,[]
Joey Maurice,4MDnIDdTwq1p7e1f2I8Yps,25,[]
Joey Martinez G,517y65DlFIKNgVVPSNJUHe,17,[]
Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,72,"['ccm', 'christian music', 'worship']"
Lauren Duski,65Soberz2DNvbx2hrxHcx5,46,"['contemporary country', 'country pop', 'viral pop']"
Leonard Damron,7BLY9EfqMRiPQtEFwgFimx,41,[]
Joey Montana,3ATyg4fGC9F8trfb0GRWmX,63,"['latin hip hop', 'latin pop', 'panamanian pop', 'pop peruano', 'pop reggaeton', 'reggaeton', 'urbano latino']"
Joey MonteGa,1OAn5OYcYOJ5kpR3HtBU9I,11,[]
Joey,5okkd0ap99vRDarPPTE7U3,14,[]
Joey Negro,4lxMXxZW5ZWKrtBlMOIUuY,42,"['deep house', 'funky house', 'soulful house', 'vocal house']"
ElNegroMusic,3JvBLYk19AWVOt3P4v3u6b,25,[]
Joey Neptune,38WnndDRkjgCxuUC75AxNJ,28,[]
JORDY,0p9SPN0Vhv6aDRZCz4W13E,55,"['alt z', 'gen z singer-songwriter']"
Jordy,7l3zlwcm9aq7yogYA4Xn1p,55,['uk alternative hip hop']
JORDY,5NCXItR4k9QzAWmWu713VD,14,[]
Jordyn,57vgy9KlvaYvEpbujOUofN,29,[]
JORDYN,2z7ePKOnZURUNNLFz8fA54,15,[]
Jordin,0Tu0E2OxF9NpjTwpC35Dry,3,[]
Jordy Searcy,0AV5z1x1RoOGeJWeJzziDz,56,"['indiecoustica', 'neo mellow', 'stomp and holler']"
JORDY,0p9SPN0Vhv6aDRZCz4W13E,55,"['alt z', 'gen z singer-songwriter']"
Jordi,5ZTJEC2UH1RXQT9K1mDCJ3,49,[]
João Marta,64SRAlT6z9a7J2iVrat1si,43,[]
Renata Marin,6XLFZ9T1Qgk4F68SFwpHg8,46,[]
Jorma Panula,6F5qpnsKmlsYVbh8iB4TCi,41,[]
Jorge Aragão,2cAooeeHKk2UvzUgIxpS0y,62,"['axe', 'mpb', 'pagode', 'samba']"
Los Aragon,7d1qSpM5IGKsYtVvSpzhDw,30,"['cumbia del sureste', 'danzon', 'mexican rock-and-roll']"
Orquesta Aragón,2Asbl9eNGYQWvaNG9EJtUK,12,[]
Jorge Cafrune,3uy9MpO6gLAW1LHhDRXM38,47,"['chamame', 'folclore jujeno', 'folklore argentino', 'folklore surero', 'polca paraguaya']"
Marcíto,1NAKmFUL8H0IeAnySQwHhs,31,[]
Marino,7hMwlRUa6Ng3DeFndeiuWe,34,[]
Jimmy Zambrano,3uKiTiDNyvbeVE5zlM4Zlj,58,[]
Jorge Celedón,7rNbdH4pgrnwguvzxhA2Ek,62,"['latin pop', 'musica popular colombiana', 'tropical', 'vallenato', 'vallenato moderno']"
Zhamira Zambrano,2IdDxiUkjLI0WfypRO1Rh3,54,['pop venezolano']
Jorge Celedón,7rNbdH4pgrnwguvzxhA2Ek,62,"['latin pop', 'musica popular colombiana', 'tropical', 'vallenato', 'vallenato moderno']"
Delux,4FqhfuOE9gIZuYAVIqEy4f,53,[]
delo cloonz,6GqdzxhGA3Km4jYj2V5Kkg,58,[]
Joey Pecoraro,44insiIQApkRaCMIbuaISJ,53,['chillhop']
Joey Paradis,2ibLlXoe9mkhU9MEcbVGBM,29,[]
Joey Pastrana,1SRbatbdUUbLnZSzEAJ9Vv,27,"['boogaloo', 'latin jazz', 'salsa', 'salsa international']"
Joey + Rory,31Esw1yHgJZBPcRa4nUyTP,47,"['country', 'country dawn', 'country road']"
Joey,5IgyublwHjqfLZRSK4sRRY,30,[]
Joey Paradis,2ibLlXoe9mkhU9MEcbVGBM,29,[]
Joey + Rory,31Esw1yHgJZBPcRa4nUyTP,47,"['country', 'country dawn', 'country road']"
Joey Ramone,7dxF7y4hlGFazdArMsxbEx,43,"['punk', 'ramonescore']"
Joei Razook,7lKfXXpidmX8SAO3cEUrPr,38,[]
Santiago Penitente,5GhwUrUTHxWEwJRQSXqNl9,50,[]
Joe Santiago,4cOMDu6QjKkq3zR9CdoBDZ,23,[]
Santino Le Saint,49WBtnIs3VA1tHR7jQG1F6,56,"['trap soul', 'uk contemporary r&b']"
Joey Scarbury,5V9pNqcN25JXuH88g7lq2o,42,"['soft rock', 'yacht rock']"
Tom Scharpling,7mC1wcdVz5yzAWC9wjrigv,53,[]
Joeyy,7hkaLWxN3ZmMVTn1qEpPdM,51,"['glitchcore', 'underground hip hop']"
Joey + Rory,31Esw1yHgJZBPcRa4nUyTP,47,"['country', 'country dawn', 'country road']"
Joel J. Richard,6RmcC7utP8xCev7o122TCP,47,[]
Joey Richter,5ePU495MmXnc3Osszvs9rX,35,[]
Sisqo,6x9QLdzo6eBZxJ1bHsDkjg,60,"['contemporary r&b', 'hip hop', 'hip pop', 'r&b', 'urban contemporary']"
SyKo,08ZqXO40nMrhBoGma4kls2,60,['glitchcore']
Shuko,1mOiWC7OH9ANUtt3vd0A10,51,"['chillhop', 'jazz boom bap', 'lo-fi jazzhop']"
Shelly,4z1P9QhvHGEJzPhQAjXYPE,48,"['indie pop', 'lo-fi indie']"
Shelly,5Aab1JpsQWPuJM8Q58La5w,30,[]
Shelly,1NWfqXVBmUoWJRVFqvwkEQ,21,[]
JoeyStarr,5q3WViYe7mEvzU9CY6lixh,42,['old school rap francais']
Joey Tempest,3q9C7TUFdxOgRndHOlsQ7Y,30,['swedish hard rock']
Joey + Kelly Thompson,719uuyBahStKulay3mLVOE,3,[]
Joey Tyl3r of VRSTY,6hCnzRQGd9BaECmtEFy9GZ,1,[]
Joeyy,7hkaLWxN3ZmMVTn1qEpPdM,51,"['glitchcore', 'underground hip hop']"
Joey + Rory,31Esw1yHgJZBPcRa4nUyTP,47,"['country', 'country dawn', 'country road']"
Joey Baron,0sQXx1Ji0yvldYg6cuEAOW,36,['jazz drums']
ghost/\/ghoul,3GqdgrX9OqOF1rM8OfRjkZ,52,"['dark trap', 'underground hip hop']"
GRAVEDGR,1kiZfWU37oS0pCOV7Os1Pj,48,"['bass trap', 'electronic trap']"
The Grouch,1MYkU0PmvFtLiCOYxdQua7,41,"['abstract hip hop', 'alternative hip hop', 'underground rap']"
Johan Manjarrés,1jsU0SifGEeNfwJyIS4qc7,53,[]
Johan tr blessd,7CBWD7msOy92Vwp5t3USgL,45,[]
Johann Eder,0aCbxLi0ypSIj30oAT4T3o,48,"['background music', 'calming instrumental']"
"Jonathan ""JR"" Rotem",0td8n3WZG9kptG9UsmYfc9,42,[]
Vivian Roost,7aCsFWCF4YljmoHrXRA63I,61,[]
Rothstein,0Qta34kIeeonfyC692s5b8,36,[]
Horsehead,13MwFjr6LL8GwK7wlfIL6t,58,[]
Joel Houston,5r7TYE2HhPqC5emV9WXW9c,53,[]
horsegiirL,0auP293abZeTWwMUi3fZw2,39,[]
Johan Verminnen,3gH63DgDuvcGgXEmkHB2ur,33,"['belgian rock', 'belgian singer-songwriter', 'classic belgian pop', 'kleinkunst']"
Jan Vermeulen,4rDAAl0HDKHAmPYU9Pvgro,22,['historical keyboard']
Johan Vermeulen,3kBQKvrPmB2Z1QvtkAz9vA,5,[]
Johann Strauss II,5goS0v24Fc1ydjCKQRwtjM,59,"['classical', 'late romantic era', 'operetta']"
Johann Strauss Orchestra,51HxUAjeZIOv4aniusaDkT,61,[]
Johann Strauss I,4WMHJgeJCssiGW3ssUT7eb,44,"['classical', 'early romantic era']"
Johann Pachelbel,62TD7509VQIxUe4WpwO0s3,60,"['baroque', 'classical', 'early music', 'german baroque']"
