artists_idxs,duration,explicit,track_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
['11sAWrpIkFUPQlXoQqpeBV'],157120,False,5jPabAfwu6fChoGqlJ5Bk4,Crown Him King - Homecoming Classics Vol. 12 Album Version,0.743,0.848,-11.539,0.138,0.608,0.0,0.904,0.659,122.0
['7oL4QveDrMItfdrKm6hQJF'],140893,False,5L38L6SvW9PwanexzPrP6D,The Old Rugged Cross - Homecoming Classics Vol. 12 Album Version,0.175,0.302,-14.775,0.0405,0.927,1.78e-06,0.143,0.419,90.0
['0pjLiK5qb4Zr0PWRNkdd2o'],191586,False,3kXzGWUnlzHJpT4pDQ9lC1,Satisfied - Homecoming Classics Vol. 12 Album Version,0.635,0.637,-7.137,0.083,0.629,0.0,0.738,0.562,78.0
"['3jaXP0JbHQS4G2OrWUBS1d', '11sAWrpIkFUPQlXoQqpeBV']",201333,False,2iMwavBucOLai5YfI4o6Oa,Glorious Freedom - Homecoming Classics Vol. 12 Album Version,0.318,0.466,-10.514,0.0979,0.526,0.0,0.931,0.449,81.0
['6AiuFk4YUoY4xi15OZJfKm'],193693,False,3AB7163RLM37d50mMG1sI2,"Swing Low, Sweet Chariot - Homecoming Classics Vol. 12 Album Version",0.511,0.69,-10.738,0.107,0.189,0.0,0.803,0.731,150.0
"['0n6xBc1oCcWmrB3QFVUf7C', '58kRXk8GqnE5YRGkGulQxb', '5MV69e9ute7J76w7HaOEiT']",217026,False,41Ya62ceoUv9ZRvkVd62nF,How Beautiful Heaven Must Be - Homecoming Classics Vol. 12 Album Version,0.401,0.302,-15.235,0.148,0.753,0.0,0.112,0.418,88.0
"['50D6dchvbbHfDJJrPc31Lw', '5WWuo8k0komiDBmtec6gHI', '29mTQUbCBA21Ii9twjwUnM', '4yXxlriPidNDMzvNGqUKA3']",358773,False,7FxQEChLFyBNWLp3FL4Wc6,When I Wake Up In Glory - Homecoming Classics Vol. 12 Album Version,0.48,0.475,-10.882,0.0314,0.404,0.0,0.13,0.507,123.0
['2rUTHCNVy2FS3bCmzh5m7F'],94466,False,0fdXI3ZyhJ2ZnOe0HRLdsj,The Heavenly Parade - Homecoming Classics Vol. 12 Album Version,0.576,0.534,-13.473,0.303,0.902,0.0,0.634,0.503,108.0
['0pjLiK5qb4Zr0PWRNkdd2o'],281760,False,5Atq8rRfLriM2z4iUiXxY7,Alpha And Omega - Homecoming Classics Vol. 12 Album Version,0.444,0.539,-9.421,0.0322,0.512,0.0,0.961,0.298,78.0
"['1sqL1MIXvLtwUpiuX8NBxp', '1wVjFBUBqgcAVHLZOZIhJh']",264666,False,5OL7thNWJTweMSWfJGnf8k,He Will Remember Me - Homecoming Classics Vol. 12 Album Version,0.511,0.613,-9.077,0.0271,0.488,0.0,0.895,0.467,84.0
['7Gr7Uulfyw9J9F74eQfBOp'],268480,False,753RHMHgixMf9bW3Eou26X,Carry Me - Homecoming Classics Vol. 12 Album Version,0.456,0.351,-12.936,0.0376,0.664,0.0,0.748,0.34,110.0
