artists_idxs,duration,explicit,track_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
['3eskO5m0H4yiF64vRySBjr'],150000,False,10W7CN0zC8FwRa66JDxpay,On the Way Home,0.66,0.501,-12.005,0.027,0.533,0.000323,0.145,0.901,119.0
['3eskO5m0H4yiF64vRySBjr'],128960,False,0K6tdCKOUFPBCWnEEIglQP,It's so Hard to Wait,0.373,0.102,-16.995,0.0325,0.631,0.000447,0.0702,0.177,70.0
['3eskO5m0H4yiF64vRySBjr'],147333,False,7EVWhR9VblkTa5iZDQkacz,Pretty Girl Why,0.64,0.449,-10.23,0.0416,0.628,0.131,0.0894,0.775,136.0
['3eskO5m0H4yiF64vRySBjr'],177373,False,0FlJda1kBtfZmyXzKnE7Pj,Four Days Gone,0.7,0.396,-10.517,0.0305,0.323,3.39e-06,0.1,0.161,118.0
['3eskO5m0H4yiF64vRySBjr'],161893,False,40E1bLxYlX4t9VqQoo81OC,Carefree Country Day,0.626,0.174,-17.798,0.0965,0.82,0.766,0.105,0.289,100.0
['3eskO5m0H4yiF64vRySBjr'],215800,False,1QQDVu5fH2MAWO718bGofZ,Special Care,0.36,0.45,-11.709,0.0263,0.0296,0.0055,0.106,0.544,99.0
['3eskO5m0H4yiF64vRySBjr'],230333,False,3gwBTCS3ttsU26U3nA4a5G,The Hour of Not Quite Rain,0.248,0.342,-11.603,0.033,0.204,0.767,0.389,0.131,131.0
['3eskO5m0H4yiF64vRySBjr'],177866,False,7w1OJlqxiRxnC4ct8yNN1n,Questions,0.573,0.388,-13.922,0.0269,0.218,0.00127,0.11,0.806,106.0
['3eskO5m0H4yiF64vRySBjr'],142440,False,0ipGD86bKFARjKvVnOu6QW,I Am a Child,0.561,0.214,-21.989,0.134,0.815,0.638,0.156,0.855,172.0
['3eskO5m0H4yiF64vRySBjr'],125626,False,4ZqmS4LfOdBScQftcJbqNA,Merry-Go-Round,0.644,0.327,-15.871,0.0288,0.324,0.0,0.108,0.62,95.0
['3eskO5m0H4yiF64vRySBjr'],124266,False,3mAANuQHdh5ijrSTeoEc7G,Uno Mundo,0.606,0.482,-12.684,0.0348,0.407,2.86e-06,0.11,0.962,76.0
['3eskO5m0H4yiF64vRySBjr'],255773,False,4o6jfrxQyekM5DpnWYLlMo,Kind Woman,0.68,0.142,-16.296,0.0314,0.928,0.000483,0.148,0.311,105.0
['3lwRbCTt1qmo0QgXUai8ao'],244253,False,5ajz2JdpRe2FeEKwdeElzg,Para Vivir un Gran Amor,0.318,0.629,-5.379,0.0305,0.681,3.28e-05,0.203,0.324,80.0
['7s652lD4v77szrPEfgMTBi'],183773,False,7y8wmI0ydpb9orlBqQAKRm,Garganta Con Arena,0.545,0.713,-4.436,0.0279,0.27,0.0,0.689,0.572,109.0
['3lwRbCTt1qmo0QgXUai8ao'],181360,False,7bzrzUfj9EXo5AoFvBMgtU,La Vuelta del Matador,0.666,0.862,-4.494,0.044,0.645,0.0,0.369,0.962,138.0
['38dnuLnnhQSAbzE10BCC54'],271026,False,5NrZKV1mAgyjC0GYvk3OFl,Ojala Que No Puedas,0.466,0.663,-6.086,0.0354,0.404,0.0,0.234,0.518,134.0
['3lwRbCTt1qmo0QgXUai8ao'],173840,False,4R3HtagRO4erBTHnO5AMev,Señora Si Usted Supiera,0.671,0.749,-5.436,0.062,0.351,0.0,0.127,0.914,100.0
['3lwRbCTt1qmo0QgXUai8ao'],165760,False,2RsfPqeRxrrzyFK6XkqzOA,Si Te Agarro Con Otro Te Mato,0.674,0.95,-4.293,0.0386,0.101,0.0,0.172,0.965,140.0
['553PhDFYgbZLLP6mUnR3w8'],229506,False,1iS3GOWbEGVE1vN7CwBkeF,Café la Humedad,0.449,0.831,-3.219,0.0456,0.323,0.0,0.0886,0.341,88.0
['3lwRbCTt1qmo0QgXUai8ao'],192426,False,4m0K4hAgbcN4tfj0mIwzSy,Que Tango Hay Que Cantar,0.467,0.593,-5.545,0.0328,0.524,4.68e-05,0.341,0.371,99.0
['3lwRbCTt1qmo0QgXUai8ao'],170173,False,2GQ0BN2MpPxCEIZ2CW6QCK,Quieren Matar al Ladron,0.65,0.87,-5.029,0.0678,0.516,0.0,0.306,0.912,138.0
['57zdSImRVdyfT1Ol0mmlWo'],137146,False,6Tw8PTRYKt5xnOmfHlIQTO,Quiero un Pueblo Que Baile,0.72,0.852,-5.768,0.0344,0.173,0.0,0.172,0.857,129.0
"['4nRo9kNdVPJM0QE6rZQ4XY', '3s8iGMUIVG0xDtexHEolnq']",363612,False,2tbDX5meQhAmwFo15pZHz2,Ecána - Marcha Sinfónica,0.244,0.27,-16.159,0.0347,0.88,0.756,0.239,0.23,112.0
"['4nRo9kNdVPJM0QE6rZQ4XY', '3s8iGMUIVG0xDtexHEolnq']",267586,False,7i4JJh5YDLYRLclAzvbXcW,A Pinheirense - Marcha,0.528,0.291,-15.157,0.0291,0.733,6.27e-06,0.158,0.457,111.0
"['4nRo9kNdVPJM0QE6rZQ4XY', '3s8iGMUIVG0xDtexHEolnq']",688902,False,4ck0cZag5eVv0Llob5QtPc,Rienzi: Overture,0.253,0.225,-14.925,0.0328,0.953,0.322,0.0712,0.0515,102.0
"['4nRo9kNdVPJM0QE6rZQ4XY', '3s8iGMUIVG0xDtexHEolnq']",303055,False,7eP6gUvLCJ45Jq5HZEaS7n,Pictures At An Exhibition: The Great Gate Of Kiev,0.221,0.132,-15.568,0.0334,0.929,0.0447,0.18,0.119,93.0
"['4nRo9kNdVPJM0QE6rZQ4XY', '3s8iGMUIVG0xDtexHEolnq']",453896,False,7EVTqEIEvYKVFZHKNzpM5X,Rhapsody From Scotland,0.232,0.146,-15.021,0.0482,0.949,0.735,0.196,0.172,64.0
"['4nRo9kNdVPJM0QE6rZQ4XY', '3s8iGMUIVG0xDtexHEolnq']",492429,False,03PL4iuCNGakcZJeZ9rWLx,Português Suave,0.338,0.31,-15.325,0.0384,0.848,0.0326,0.117,0.244,137.0
"['4nRo9kNdVPJM0QE6rZQ4XY', '3s8iGMUIVG0xDtexHEolnq']",210168,False,7GS3ekfgqouap98NqB7G8H,Mestre Manuel Joaquim - Marcha,0.506,0.341,-15.028,0.028,0.647,0.000243,0.13,0.574,112.0
['3zJLcIfCiDAuOSwwbu3D6l'],279333,False,2GwiG09etGAZ5xoWtoLash,Sugarfoot Stomp,0.539,0.563,-5.796,0.165,0.596,0.811,0.119,0.737,180.0
['3zJLcIfCiDAuOSwwbu3D6l'],247626,False,3xqmoq21hEujL8M6M6ppG8,Cushion Foot Stomp,0.599,0.633,-5.921,0.266,0.329,0.899,0.134,0.825,181.0
