artists_spotify_idxs,album_spotify_idx,duration,explicit,track_spotify_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,10,False,1bXYlFOetbJGiXcUCA0bpy,Intro A,,,,,,,,,
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,167,False,6hhOSqeePf2YPSNa0khkFT,Saving My Love For You,0.499,0.508,-9.42,0.0456,0.674,0.0,0.108,0.635,108.0
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,167,False,1K3lZqDWKVEYZCJeUbjD1v,When My Baby Cries,0.541,0.2,-12.135,0.0338,0.641,0.0,0.147,0.437,90.0
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,154,False,6P1bauPAnVf2Zv6KNzmv3J,Different Man,0.681,0.434,-9.689,0.056,0.647,0.0,0.168,0.734,102.0
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,130,False,0lqzy4UNgGqA8nQgilOEtf,Rain Makes Me Blue,0.732,0.123,-15.529,0.0672,0.626,5.32e-06,0.196,0.423,98.0
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,161,False,2iY3mFiQgRShNkjHAozouF,Get Ready,0.632,0.246,-9.77,0.0346,0.258,9.26e-06,0.0863,0.531,132.0
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,17,False,2noFQ03vlXbYRxCDfuD1eV,Intro B,0.456,0.401,-10.522,0.252,0.43,0.0,0.559,0.0,214.0
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,169,False,2lWyoW8Lkrb5QaUdcokhsi,Midnite Mover,0.625,0.566,-11.897,0.199,0.435,3.16e-05,0.133,0.63,130.0
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,162,False,35SDiZbTO7hlVwAphVaNg9,I've Never Found A Girl,0.649,0.222,-14.127,0.0317,0.763,1.78e-06,0.096,0.608,108.0
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,175,False,1WTPoya0DcaZOQAXrysGPE,Dance To The Music,0.563,0.579,-11.547,0.0488,0.513,0.0847,0.061,0.665,135.0
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,240,False,6XCFK1zYFMiGarzlpYe6WC,I Have No One,0.352,0.0595,-19.734,0.0559,0.876,0.00651,0.179,0.116,75.0
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,149,False,5ohWB14SHXPIHNQyJCdTO1,Give It Away,0.389,0.307,-13.177,0.0428,0.828,3.37e-06,0.275,0.676,93.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,250,True,30OIM2sLquWm3Vbpl1Fz6F,Bullshit,0.734,0.587,-7.824,0.309,0.186,0.0,0.916,0.777,90.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,261,True,6jSlqSIpCQzANjd5qpkd0w,Pharcyde,0.624,0.594,-8.687,0.257,0.00425,0.0,0.387,0.348,92.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,312,True,4iv9WnWuqCbHgpgwSWbmxO,Groupie Therapy,0.688,0.583,-9.082,0.389,0.263,0.0,0.163,0.306,94.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,296,True,0XgpiStoxq1IJncYlPrvZ5,Runnin',0.754,0.785,-8.178,0.18,0.0287,0.00144,0.319,0.821,94.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,315,True,5Yy9sRRcNQakNfR74hj5Td,She Said,0.784,0.696,-7.38,0.247,0.115,1.49e-05,0.231,0.608,79.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,178,True,6Y9qIPBqv8H0mpiSfx8rk4,Splattitorium,0.814,0.474,-6.817,0.105,0.757,0.0104,0.353,0.802,82.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,210,True,0zDQvPKS56nrUSa4QNGBe3,Somethin' That Means Somethin',0.889,0.801,-8.933,0.276,0.549,0.0,0.157,0.734,92.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,52,True,65T6mllSYGORBi6SYu3PDu,All Live,0.624,0.594,-11.668,0.136,0.239,0.0,0.971,0.569,103.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,334,True,7sT3O2PXs1o12XnCKlv204,Drop,0.853,0.754,-7.158,0.259,0.335,6.21e-06,0.252,0.69,95.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,234,True,3B3lEqSzpAUghMbBqJPtyb,Hey You,0.614,0.677,-9.665,0.21,0.105,2.43e-05,0.26,0.519,92.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,304,True,4FRvj6a6VIu6GkzgGvliRs,Y?,0.888,0.559,-5.723,0.269,0.288,0.0,0.0852,0.633,92.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,41,True,3RIuhbyqrP3IhU3JJ892xD,It's All Good!,0.421,0.289,-12.664,0.0345,0.987,0.247,0.353,0.829,98.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,164,True,0BVXmJ0LW75WTqu82nxkuM,Moment In Time,0.825,0.477,-11.208,0.28,0.0307,0.0,0.0561,0.479,92.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,334,True,0mRVzrOpwbuDwZBDte7RCy,The Hustle,0.784,0.811,-9.878,0.311,0.00496,0.0,0.108,0.671,96.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,91,True,3y5KCncGFsRWEGqMBojd2C,Little D,0.708,0.208,-17.497,0.857,0.799,0.0,0.598,0.474,110.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,252,True,3Ei6iWAEadj65qaAI1hOPL,Devil Music,0.879,0.542,-9.489,0.3,0.203,0.0,0.125,0.549,95.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,280,True,5mCmKXmp5g7NN4IiyufzXC,The E.N.D.,0.748,0.456,-8.963,0.356,0.0351,0.0,0.112,0.64,97.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,259,False,7foxmWRpEa1fiYGz7JbAKH,Bullshit - Instrumental,0.733,0.291,-12.119,0.115,0.0247,0.1,0.44,0.852,90.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,269,False,3rABK0jl6gPDrqy5ZlHDE9,Pharcyde - Instrumental,0.563,0.378,-10.935,0.0388,0.0016,0.888,0.0797,0.494,92.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,262,False,7u0Pt3t0yHpUCR8jS4zrN4,Groupie Therapy - Instrumental,0.838,0.409,-11.475,0.244,0.00412,0.907,0.0925,0.23,94.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,302,False,2HlDkSeQVfB6Q7QTo8TnY5,Runnin' - Instrumental,0.818,0.764,-7.896,0.183,0.16,0.86,0.0488,0.832,94.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,213,False,09BvPk8YbtgcjlZfAqlj8P,Somethin' That Means Somethin' - Instrumental,0.83,0.634,-12.177,0.0789,0.5,0.917,0.0909,0.856,92.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,229,False,1rGvfc0tZoIHG0Detlddur,Drop - Instrumental,0.858,0.367,-11.314,0.0888,0.513,0.382,0.0599,0.672,96.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,258,True,2uD8wvuTCCRb7y2uS82B10,Devil Music - Instrumental,0.868,0.329,-13.368,0.143,0.0483,0.903,0.0891,0.751,95.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,261,False,3KTmCCpudfR8soDccvKZxz,The E.N.D. - Instrumental,0.822,0.318,-9.44,0.0725,0.00951,0.557,0.0649,0.558,97.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,293,False,1Oya1eByPkxN4Sybms1HUm,Y? - Remix Instrumental,0.749,0.252,-12.525,0.175,0.0477,0.765,0.109,0.536,183.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,254,False,4nKFINheeXfEs7VwXGgIRb,Drop - The Beatminerz Remix / Instrumental,0.822,0.127,-11.655,0.102,0.000542,0.919,0.124,0.576,95.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,273,False,2rXYAy2PLTLLAeSpl4ajxE,She Said - Remix Instrumental,0.46,0.233,-10.931,0.338,0.0662,0.723,0.204,0.383,79.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,331,False,0gvZ8KkSdc2uqYI1c0SdCu,Runnin' - Philippians Remix Instrumental,0.705,0.629,-13.007,0.0642,0.0537,0.706,0.081,0.885,93.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,358,True,5M85Y3zjI8A7eeTS1KDkOC,Just Don't Matter,0.841,0.632,-10.292,0.34,0.308,0.0,0.317,0.688,92.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,254,True,7IAsAAGgFdnakvzdqk7gnJ,She Said - Mike Caren Remix,0.696,0.73,-7.09,0.325,0.185,4.42e-05,0.243,0.871,79.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,261,True,1SpoxpGsv76XRa9uJdzkoT,Drop - The Beatminerz Remix,0.88,0.615,-3.337,0.314,0.00289,2.59e-06,0.219,0.633,95.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,260,True,7dXTYbB4dzSxPfls25UfmU,Pandemonium,0.833,0.731,-5.185,0.326,0.0457,0.0965,0.0619,0.834,98.0
"['7yk35uHNQclPXFGFoTU44w', '0IVcLMMbm05VIjnzPkGCyp']",05Qg48LlYGKYdeXrNGg00g,295,True,7dE5rfjZoPtLHgV5i5eseh,Y? (Be Like That) - Jay Dee Remix,0.865,0.579,-6.97,0.349,0.109,8.71e-06,0.105,0.654,92.0
"['7yk35uHNQclPXFGFoTU44w', '0IVcLMMbm05VIjnzPkGCyp']",05Qg48LlYGKYdeXrNGg00g,296,False,2qu4z57hQ1BU5XbNZUPFgB,She Said - Jay Dee Remix,0.685,0.509,-6.842,0.211,0.00701,0.0,0.263,0.512,79.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,286,True,3TXipmHj3TX48y1Q9KJosT,Emerald Butterfly,0.787,0.467,-7.26,0.33,0.00315,5.56e-06,0.0537,0.458,76.0
"['7yk35uHNQclPXFGFoTU44w', '16qLTtSK5r15iB6T57Kby9', '0yZSYafm5T5YelM3QFovsL']",05Qg48LlYGKYdeXrNGg00g,385,True,7DJoq87jRlTsEHTqMwXN7t,Runnin' - Rae & Christian Remix,0.741,0.759,-6.197,0.0762,0.00304,0.052,0.15,0.464,88.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,274,True,4rbl1kV5BK6NiQbcSCNUcb,She Said - Fuzz Face & tWANK boy Remix,0.711,0.643,-7.135,0.0626,0.05,0.0178,0.352,0.855,156.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,331,False,4MfpXzalRm0gK9j9gjHdSI,Runnin' - Philippians RMX,0.688,0.734,-10.335,0.189,0.226,9.82e-06,0.0651,0.857,93.0
['7yk35uHNQclPXFGFoTU44w'],05Qg48LlYGKYdeXrNGg00g,332,True,22hVnIyS8f72cn46RbNu8a,My Soul,0.831,0.616,-8.764,0.226,0.374,8.3e-06,0.0795,0.73,95.0
['7xZfAvnNaJjXv8PzTVVRVt'],09R97R9xICJXL4Eg6JO8u8,151,False,62rXtOMNIQzJcJHpMj3mbh,It Don't Mean a Thing,0.643,0.569,-4.968,0.0288,0.683,0.000363,0.331,0.94,95.0
['7xZfAvnNaJjXv8PzTVVRVt'],09R97R9xICJXL4Eg6JO8u8,170,False,4plWHfjBMSspZkesrzwzA6,"Sing, Sing, Sing",0.679,0.638,-5.651,0.0404,0.0187,0.0469,0.0737,0.516,107.0
['7xZfAvnNaJjXv8PzTVVRVt'],09R97R9xICJXL4Eg6JO8u8,257,False,5dBloR2OUuHGBjHWMaYTip,Georgia on My Mind,0.362,0.323,-7.695,0.029,0.5,0.0642,0.0851,0.196,165.0
['7xZfAvnNaJjXv8PzTVVRVt'],09R97R9xICJXL4Eg6JO8u8,194,False,4lLcqKcb56qpKigPPHcHXb,In the Mood,0.581,0.662,-6.507,0.0339,0.372,6.29e-05,0.0973,0.584,95.0
