artists_idxs,duration,explicit,track_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
['7vlM4bn4gPubcmntK8UBp0'],105253,False,00rbmCpvZfEX2kFSIz5k2q,CENTRALFICTION,0.136,0.814,-4.191,0.0651,1.09e-05,0.889,0.107,0.214,142.0
['7vlM4bn4gPubcmntK8UBp0'],39573,False,6FOmVWqh8NykeMwkIBTa31,a drop,0.173,0.374,-17.261,0.0409,0.285,0.912,0.0707,0.0685,94.0
['7vlM4bn4gPubcmntK8UBp0'],104960,False,7vGOT69eNbeKQjIaPrQZKS,CF Field1,0.275,0.644,-10.329,0.0429,0.0814,0.814,0.14,0.171,170.0
['7vlM4bn4gPubcmntK8UBp0'],143106,False,5cuUahqaVwgSDpvEwcsL5M,Next force,0.393,0.937,-8.434,0.0738,0.000451,0.838,0.331,0.527,134.0
['7vlM4bn4gPubcmntK8UBp0'],26013,False,01RqzQ81ZnultliTPkWAcs,CF interlude,0.391,0.635,-8.596,0.0535,0.00184,0.00467,0.348,0.266,120.0
['7vlM4bn4gPubcmntK8UBp0'],13506,False,1wPq4uNrNqhJJJ2y1iPMiv,CF VS,,,,,,,,,
['7vlM4bn4gPubcmntK8UBp0'],348840,False,2KijmJye2LGBlm1tEeGNnJ,Bloodline,0.454,0.937,-6.814,0.0949,0.000728,0.788,0.223,0.242,126.0
['7vlM4bn4gPubcmntK8UBp0'],353613,False,1TTXErViRlGSaMokOzGkZR,Reincarnation,0.444,0.887,-7.407,0.0712,0.00151,0.78,0.199,0.258,125.0
['7vlM4bn4gPubcmntK8UBp0'],14386,False,6KRZo7Ed1UaIVXuVsTu4cV,CF winner,,,,,,,,,
['7vlM4bn4gPubcmntK8UBp0'],10360,False,4CMemdXasEmMA0RekPJJyG,CF Challenger,,,,,,,,,
['7vlM4bn4gPubcmntK8UBp0'],294613,False,1nL3VluKZW5npibkYA4rry,God of War,0.275,0.775,-7.124,0.0475,0.205,0.856,0.164,0.16,77.0
['7vlM4bn4gPubcmntK8UBp0'],26933,False,7aXILZCE3qHmzzwQvXSG3i,CF continue,0.353,0.506,-8.227,0.0359,0.0643,0.00231,0.173,0.757,136.0
['7vlM4bn4gPubcmntK8UBp0'],105186,False,4sQ63EqXwmAbV0coniDXVz,CENTRALFICTION -RESUIT-,0.144,0.804,-4.486,0.0834,1.33e-05,0.974,0.309,0.413,139.0
['7vlM4bn4gPubcmntK8UBp0'],107426,False,2EDYFQsOqlSi23uRzVFXMM,CF Field2,0.122,0.199,-19.271,0.032,0.822,0.962,0.0977,0.0398,89.0
['7vlM4bn4gPubcmntK8UBp0'],228466,False,2bNT2LQTj29QXcv2ivoROU,Neo ABYSS,0.493,0.804,-8.676,0.039,0.113,0.625,0.309,0.231,136.0
['7vlM4bn4gPubcmntK8UBp0'],316200,False,0YifMGBHacGvgDseDJ593Y,THE WORLD END,0.449,0.784,-8.332,0.0615,0.0247,0.503,0.0995,0.183,132.0
['7vlM4bn4gPubcmntK8UBp0'],440346,False,54ZNJtAbYKN3SBabe0p0Nj,HAKAISHIN,0.439,0.814,-7.495,0.0531,0.0286,0.805,0.141,0.234,118.0
['7vlM4bn4gPubcmntK8UBp0'],333986,False,47fJbW03w45MAVb3pstyOy,Twilight tear,0.29,0.537,-6.262,0.0342,0.299,0.305,0.11,0.0672,150.0
['7vlM4bn4gPubcmntK8UBp0'],17160,False,0GkJSNZrlUZFK80T3E2hHr,CF gameover,,,,,,,,,
"['7zkEyvgDJYnVeTTsFaReKe', '4NqS7DbPFYwZmniGHCPMpm', '2vgMXbvbpzLc0CuugRYpL3', '4lrOh2SR7H3guHky2lAYOk', '0K4qycWYB7fwNMvrtS9lID', '79Xztd6s33dW9S4V0f4NsQ', '0TNR9PuUgbrCPci3tolmNT']",68011,False,5oILfPLPj1P4NEWROyBRnw,As the Rain Falls Gently,0.214,0.824,-24.378,0.0541,4.84e-05,0.983,0.502,0.0304,52.0
"['7zkEyvgDJYnVeTTsFaReKe', '4NqS7DbPFYwZmniGHCPMpm', '2vgMXbvbpzLc0CuugRYpL3', '4lrOh2SR7H3guHky2lAYOk', '0K4qycWYB7fwNMvrtS9lID', '79Xztd6s33dW9S4V0f4NsQ', '0TNR9PuUgbrCPci3tolmNT']",80412,False,1okpnF6NhfkubD03nfJUhS,Clouds Rip Open,0.0833,1.0,-11.347,0.0777,0.817,0.946,0.492,1e-05,168.0
"['7zkEyvgDJYnVeTTsFaReKe', '4NqS7DbPFYwZmniGHCPMpm', '2vgMXbvbpzLc0CuugRYpL3', '4lrOh2SR7H3guHky2lAYOk', '0K4qycWYB7fwNMvrtS9lID', '79Xztd6s33dW9S4V0f4NsQ', '0TNR9PuUgbrCPci3tolmNT']",115121,False,1atdGdYLYLSLGAOaJoa8Xg,Hiding in the Rainforest,0.336,0.823,-20.958,0.363,0.873,0.89,0.744,0.0358,104.0
"['7zkEyvgDJYnVeTTsFaReKe', '4NqS7DbPFYwZmniGHCPMpm', '2vgMXbvbpzLc0CuugRYpL3', '4lrOh2SR7H3guHky2lAYOk', '0K4qycWYB7fwNMvrtS9lID', '79Xztd6s33dW9S4V0f4NsQ', '0TNR9PuUgbrCPci3tolmNT']",117243,False,1YIyvl9M1pa846AUAdPbVI,Hiding Under the Pavilion in the Rain,0.118,1.0,-17.342,0.0887,0.968,0.465,0.906,1e-05,80.0
