artists_spotify_idxs,album_spotify_idx,duration,explicit,track_spotify_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
['7y70dch6JuuuNnwlsOQvwW'],01d9OZQwyzsy0V7SAXPFsk,101,False,1p41uBwIuOU6iG5neRvKVF,Jambalaya (On The Bayou),0.658,0.702,-7.498,0.143,0.219,1.11e-06,0.364,0.796,98.0
['7y70dch6JuuuNnwlsOQvwW'],01d9OZQwyzsy0V7SAXPFsk,196,False,3Cwbgm025dLvt5Zdjsg5Up,Dirt Band Interview,0.446,0.262,-20.154,0.798,0.78,0.0,0.632,0.581,61.0
['7y70dch6JuuuNnwlsOQvwW'],01d9OZQwyzsy0V7SAXPFsk,224,False,0F5SSCYkFQfmPDC9FbMoej,Cosmic Cowboy (Part 1),0.531,0.755,-7.741,0.041,0.505,0.0,0.927,0.929,143.0
['7y70dch6JuuuNnwlsOQvwW'],01d9OZQwyzsy0V7SAXPFsk,85,False,3etBOu9MR86jGf7Xtxu3S8,Aluminum Record Award,0.539,0.402,-20.827,0.945,0.877,0.0,0.278,0.234,77.0
['7y70dch6JuuuNnwlsOQvwW'],01d9OZQwyzsy0V7SAXPFsk,232,False,7E3LJGKBknO0drBhdka88D,Fish Song,0.517,0.678,-8.21,0.0541,0.711,0.00372,0.706,0.518,78.0
['7y70dch6JuuuNnwlsOQvwW'],01d9OZQwyzsy0V7SAXPFsk,229,False,1mrQPomno9a7r30XksGy0l,Mr. Bojangles,0.359,0.675,-8.502,0.0279,0.252,0.0,0.941,0.684,154.0
['7y70dch6JuuuNnwlsOQvwW'],01d9OZQwyzsy0V7SAXPFsk,235,False,7KZzBrC7KWnVBBOP4b0Mgt,Vassar Clements Interview,0.547,0.274,-19.355,0.393,0.693,0.0,0.314,0.448,113.0
['7y70dch6JuuuNnwlsOQvwW'],01d9OZQwyzsy0V7SAXPFsk,163,False,6f0kyqvK1CecvwR2gZJhsi,Listen To The Mockingbird - 1974 Digital Remaster,0.451,0.854,-6.326,0.0367,0.244,0.139,0.816,0.824,126.0
['7y70dch6JuuuNnwlsOQvwW'],01d9OZQwyzsy0V7SAXPFsk,125,False,4XYex5Yk3irD9VSOH45udA,The Sheik Of Araby,0.646,0.62,-10.818,0.0304,0.383,0.758,0.185,0.923,125.0
['7y70dch6JuuuNnwlsOQvwW'],01d9OZQwyzsy0V7SAXPFsk,167,False,2vFXgf4MT5PmZ4VPeyZYIY,Resign Yourself To Me,0.524,0.409,-11.005,0.0355,0.508,1.61e-05,0.532,0.738,86.0
['7y70dch6JuuuNnwlsOQvwW'],01d9OZQwyzsy0V7SAXPFsk,145,False,6ClQVE275MxGdLeFVDKLee,Dixie Hoedown,0.515,0.867,-9.36,0.0398,0.368,0.496,0.874,0.965,132.0
['7y70dch6JuuuNnwlsOQvwW'],01d9OZQwyzsy0V7SAXPFsk,57,False,53UfdOkdicmVDMMrZh7V5b,Cripple Creek,0.454,0.435,-12.985,0.0563,0.667,0.773,0.125,0.573,139.0
