artists_spotify_idxs,album_spotify_idx,duration,explicit,track_spotify_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"['7xnIm2ZPKNza0WlSR9MRfg', '7rfR2Pmx3GNKyrjgMNCUEa', '2CDApyOON0pYv8fWwC9U7i']",01YV9IRGZ5YO7qMEO0EyeP,141,False,7kTcPaUXPaVa5VZQtFQ0nS,Studying Music,0.183,0.000647,-47.067,0.0405,0.995,0.976,0.0841,0.0371,69.0
"['7xnIm2ZPKNza0WlSR9MRfg', '7rfR2Pmx3GNKyrjgMNCUEa', '2CDApyOON0pYv8fWwC9U7i']",01YV9IRGZ5YO7qMEO0EyeP,145,False,33XtOEY9CZbhmK1i4IUCgM,Studying Music for Relaxation,0.183,0.000603,-47.015,0.046,0.994,0.977,0.0672,0.0368,71.0
"['7xnIm2ZPKNza0WlSR9MRfg', '7rfR2Pmx3GNKyrjgMNCUEa', '2CDApyOON0pYv8fWwC9U7i']",01YV9IRGZ5YO7qMEO0EyeP,135,False,614AsPPF8x9tGvMrGzqFyr,Studying Music for Concentration,0.118,0.000531,-48.65,0.0516,0.991,0.968,0.0938,0.034,71.0
"['7xnIm2ZPKNza0WlSR9MRfg', '7rfR2Pmx3GNKyrjgMNCUEa', '2CDApyOON0pYv8fWwC9U7i']",01YV9IRGZ5YO7qMEO0EyeP,142,False,75wV7fsQUmTtsuSMOD6GU7,Studying Music for Reading,0.22,0.00053,-46.955,0.0449,0.995,0.949,0.0858,0.0347,74.0
"['7xnIm2ZPKNza0WlSR9MRfg', '7rfR2Pmx3GNKyrjgMNCUEa', '2CDApyOON0pYv8fWwC9U7i']",01YV9IRGZ5YO7qMEO0EyeP,135,False,4UFZ7DHLAmohqfdjDLakNw,Studying Music for Meditation,0.0565,0.000819,-47.671,0.0496,0.996,0.975,0.0838,0.0315,65.0
"['7xnIm2ZPKNza0WlSR9MRfg', '7rfR2Pmx3GNKyrjgMNCUEa', '2CDApyOON0pYv8fWwC9U7i']",01YV9IRGZ5YO7qMEO0EyeP,132,False,48saBQp3RkTAKaZSMp936D,Studying Music for Deep Focus,0.0823,0.000654,-47.355,0.0463,0.995,0.99,0.0899,0.0364,69.0
"['7xnIm2ZPKNza0WlSR9MRfg', '7rfR2Pmx3GNKyrjgMNCUEa', '2CDApyOON0pYv8fWwC9U7i']",01YV9IRGZ5YO7qMEO0EyeP,139,False,5fjnQ6FDjR1gpPs598cdJh,Studying Music for Exams,0.18,0.00097,-47.472,0.0479,0.995,0.979,0.0779,0.0359,71.0
"['7xnIm2ZPKNza0WlSR9MRfg', '7rfR2Pmx3GNKyrjgMNCUEa', '2CDApyOON0pYv8fWwC9U7i']",01YV9IRGZ5YO7qMEO0EyeP,137,False,5fEdgjjcGGJLw5kJE8b6KY,Calm Studying Music,0.171,0.000601,-46.796,0.0431,0.995,0.947,0.0832,0.0376,70.0
"['7xnIm2ZPKNza0WlSR9MRfg', '7rfR2Pmx3GNKyrjgMNCUEa', '2CDApyOON0pYv8fWwC9U7i']",01YV9IRGZ5YO7qMEO0EyeP,147,False,7MGHDVr3GdjA6TRxawYwDf,Piano Studying Music,0.138,0.00092,-46.556,0.0434,0.996,0.968,0.0746,0.0582,142.0
"['7xnIm2ZPKNza0WlSR9MRfg', '7rfR2Pmx3GNKyrjgMNCUEa', '2CDApyOON0pYv8fWwC9U7i']",01YV9IRGZ5YO7qMEO0EyeP,132,False,0rHoR86lE2fCYqLEY0TdOK,Relaxing Studying Music,0.207,0.000762,-47.191,0.0452,0.995,0.954,0.0776,0.0383,68.0
