artists_idxs,duration,explicit,track_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"['2L4iVAgR54yUlHRTHO3xGr', '5g4aQ9x1Nn42DLq0iuqR3S']",300250,False,1A9MQ80fyRHcPo8itIY8st,Sleep Sounds - Airplane Cabin Relaxing Calm Flight,0.183,0.917,-23.163,0.0839,0.949,0.848,0.109,0.00466,84.0
"['2L4iVAgR54yUlHRTHO3xGr', '5g4aQ9x1Nn42DLq0iuqR3S']",319500,False,1V7A2rvXO4AbFIwHjgzFb3,Sleep Sounds - Sleep Airplane Noise,,,,,,,,,
"['5g4aQ9x1Nn42DLq0iuqR3S', '2L4iVAgR54yUlHRTHO3xGr']",354000,False,3ZtPU1Lp6TcW5AgTkXqqae,Sleep Sounds - Airplane Noise for Relaxation,0.0544,0.319,-27.496,0.098,0.975,0.285,0.112,0.00544,65.0
"['2L4iVAgR54yUlHRTHO3xGr', '5g4aQ9x1Nn42DLq0iuqR3S']",302500,False,2ZzTMamAkH6DB2Syr1r9EI,Sleep Sounds - Plane Sounds for Relaxation,0.0849,0.705,-25.041,0.0826,0.95,0.998,0.11,0.0073,87.0
"['2L4iVAgR54yUlHRTHO3xGr', '5g4aQ9x1Nn42DLq0iuqR3S']",367000,False,48KVFy4Mb6aDUuNrEID388,Sleep Sounds - Plane Sounds for Sleep,0.0807,0.336,-26.846,0.0754,0.906,0.315,0.111,0.00628,85.0
"['5g4aQ9x1Nn42DLq0iuqR3S', '2L4iVAgR54yUlHRTHO3xGr']",209750,False,2sUtSvY4oZ7J7PjD77CzE7,Sleep Sounds - Airplane Ambiance,,,,,,,,,
"['5g4aQ9x1Nn42DLq0iuqR3S', '2L4iVAgR54yUlHRTHO3xGr']",398500,False,28Fo1TZpHRoHEqha2fIVWc,Sleep Sounds - Airplane Cabin Sound,,,,,,,,,
['5aygfDCEaX5KTZOxSCpT9o'],255266,False,1T3YcYL9oJTJw6NJbNRYNN,Can't You See What You're Doing To Me,0.502,0.57,-12.495,0.0386,0.0685,0.000173,0.106,0.89,145.0
['5aygfDCEaX5KTZOxSCpT9o'],261253,False,2cHTf8wSNARRUwi5qQkq9A,Everybody Wants To Go To Heaven,0.534,0.22,-15.353,0.0533,0.768,0.235,0.131,0.609,180.0
['5aygfDCEaX5KTZOxSCpT9o'],258866,False,2Zq8iAB1SaTkrOU5wcLSDi,Angel Of Mercy,0.658,0.376,-14.87,0.0829,0.54,1.84e-05,0.0893,0.763,95.0
['5aygfDCEaX5KTZOxSCpT9o'],236800,False,6e5jcPUhUNTUeOBRHcGirg,I'll Play The Blues For You - Edit,0.704,0.322,-16.755,0.0367,0.043,0.00034,0.104,0.597,96.0
['5aygfDCEaX5KTZOxSCpT9o'],238200,False,7txSZmb5aynEyVvlWNuxRk,Breaking Up Somebody's Home - Edit,0.781,0.313,-14.628,0.0514,0.207,1.85e-06,0.0893,0.818,88.0
['5aygfDCEaX5KTZOxSCpT9o'],232360,False,5HrMjnmLkWlxdIwHEMNf2a,That's What The Blues Is All About,0.785,0.521,-15.048,0.054,0.487,1.13e-05,0.252,0.932,124.0
['0MPtuQaV2GiRdLjAkPOaan'],203626,False,3ofUkOMwIdnQx9L7GiQLKO,If That Ain't A Reason (For Your Woman To Leave You),0.651,0.55,-13.055,0.0456,0.302,0.0,0.121,0.776,82.0
['0MPtuQaV2GiRdLjAkPOaan'],238760,False,2vmpgZfBe9ib3BuIbBTBcb,That's What Love Will Make You Do,0.701,0.676,-13.073,0.0552,0.427,0.0155,0.0642,0.795,91.0
['0MPtuQaV2GiRdLjAkPOaan'],188840,False,0ibDTiZWy80sIyhTzC8X1V,What It Is,0.682,0.483,-13.334,0.0688,0.24,3.29e-06,0.833,0.797,122.0
['0MPtuQaV2GiRdLjAkPOaan'],212000,False,0nutQ6mhklURi8FzOLOIqB,Tin Pan Alley,0.467,0.41,-13.034,0.0344,0.333,1.14e-06,0.031,0.934,205.0
['0MPtuQaV2GiRdLjAkPOaan'],238066,False,2U6kfTBkIrolMxrSfszEVi,Behind Closed Doors,0.617,0.381,-13.274,0.0399,0.215,0.0,0.293,0.81,106.0
['0MPtuQaV2GiRdLjAkPOaan'],185573,False,7qxsYBtmHPWJZ3hUIuRtnu,Let Me Back In,0.644,0.526,-14.846,0.0378,0.12,0.0,0.0363,0.929,103.0
['0MPtuQaV2GiRdLjAkPOaan'],163333,False,5losrLFEvqbtooYgZqglAq,If You Talk In Your Sleep,0.663,0.487,-13.02,0.0429,0.278,0.000446,0.0658,0.963,149.0
['5r1bdqzhgRoHC3YcCV6N5a'],198346,False,0u6jOqj3J0iJrrQ0dTrY12,All The Pretty Girls,0.244,0.942,-4.25,0.171,0.000127,0.00387,0.152,0.381,172.0
