artists_idxs,duration,explicit,track_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"['5I6WLC9Auo6aeTRHPQbdOv', '5AXxk4cxkMNsTb4TtwLAQJ']",147069,False,4x5ooJnKh12RznFvqoWYaN,Buttercup,0.634,0.525,-10.823,0.0445,0.227,0.0115,0.091,0.349,160.0
['5I6WLC9Auo6aeTRHPQbdOv'],123062,False,0iMBYfEtxZP4Jms4PHrLSL,Old Fashioned,0.54,0.241,-12.961,0.0453,0.893,0.923,0.11,0.501,160.0
['5I6WLC9Auo6aeTRHPQbdOv'],113554,False,3JSAtBow9nWSXe7rIy2O1P,nostalgic memories of u,0.695,0.234,-14.639,0.0467,0.92,0.922,0.117,0.417,85.0
['5I6WLC9Auo6aeTRHPQbdOv'],90566,False,4xoZZLMFSJpBYdEb8DkcvK,this feels so right,0.666,0.474,-9.999,0.0393,0.422,0.871,0.0982,0.229,170.0
['5I6WLC9Auo6aeTRHPQbdOv'],90305,False,4galySSJQNfLSA6yqGeHWZ,Pastel Colors,0.674,0.313,-11.349,0.0539,0.976,0.877,0.112,0.203,85.0
['5I6WLC9Auo6aeTRHPQbdOv'],106945,False,10WlryYSJe7Nokwwrkae14,Childhood,0.768,0.491,-14.133,0.106,0.866,0.506,0.114,0.283,110.0
['5I6WLC9Auo6aeTRHPQbdOv'],119066,False,1MwYpg2o7elCBVYewann8J,Making Up,0.67,0.261,-14.798,0.0445,0.905,0.899,0.114,0.439,80.0
['5I6WLC9Auo6aeTRHPQbdOv'],85054,False,4pcE35MiTnr9QIx8OTClii,i don't believe in anything but i believed in you,0.637,0.273,-10.692,0.0441,0.522,0.905,0.143,0.537,90.0
"['5I6WLC9Auo6aeTRHPQbdOv', '0IDfPC86tctwQaHkc9tVfX']",111072,False,20X3ZiOw7LD0E5EXN6RSiJ,Evolved,0.699,0.442,-11.345,0.0587,0.613,0.885,0.166,0.12,80.0
"['5I6WLC9Auo6aeTRHPQbdOv', '0IDfPC86tctwQaHkc9tVfX']",99056,False,5EJbWcQyIbQmYKgk5u5t3I,Laying Around,0.669,0.366,-10.891,0.0389,0.712,0.907,0.126,0.108,80.0
"['5I6WLC9Auo6aeTRHPQbdOv', '0IDfPC86tctwQaHkc9tVfX']",120058,False,5W5EAyEYkhsUkTaVsQdV89,Lucky,0.615,0.631,-10.16,0.0759,0.246,0.000214,0.828,0.746,150.0
"['5I6WLC9Auo6aeTRHPQbdOv', '1RtsY4fBX8QjG925nalPpa']",120058,False,1LiJIMhsrspCspuYlD8cA6,So Sick,0.537,0.491,-10.789,0.0397,0.34,0.0,0.141,0.212,140.0
"['5BZAykvOJ7eJovHe9700wb', '4W12lEvVl5wectUtRNrvDh', '5CIJEJK51mGBedoqmR7219']",90000,False,4aD5swKg7j71Qhmqp23WjL,Very Calm Morning Noisescape,0.282,0.0179,-44.371,0.0759,0.923,0.973,0.108,0.0617,76.0
"['5BZAykvOJ7eJovHe9700wb', '4W12lEvVl5wectUtRNrvDh', '5CIJEJK51mGBedoqmR7219']",100000,False,1y4qHqgNoxSOYEnaEf2BqC,Solid Bedtime Noise,0.177,0.0211,-43.681,0.0752,0.823,0.973,0.112,0.036,92.0
"['5BZAykvOJ7eJovHe9700wb', '4W12lEvVl5wectUtRNrvDh', '5CIJEJK51mGBedoqmR7219']",110000,False,0bM8XDaOGtusfLqMLMTTn8,Placid Shusher,0.186,0.0629,-41.495,0.0757,0.822,0.973,0.112,0.0419,98.0
"['5BZAykvOJ7eJovHe9700wb', '4W12lEvVl5wectUtRNrvDh', '5CIJEJK51mGBedoqmR7219']",120000,False,6skWQW0fTgXmSPUPwpiP89,Regular Noise Vibe,0.16,0.0314,-41.827,0.0466,0.875,0.973,0.112,0.0364,108.0
"['5BZAykvOJ7eJovHe9700wb', '4W12lEvVl5wectUtRNrvDh', '5CIJEJK51mGBedoqmR7219']",130000,False,3RQdGeyuD2sm3X9CImFcXm,Sleep Ambient,0.154,0.04,-41.265,0.0528,0.937,0.504,0.112,0.0352,76.0
"['1jit57yrNpSIMT0Yd2O9y4', '4W12lEvVl5wectUtRNrvDh', '3Czx2mC782Kp7t0rNKBVhH']",90000,False,5DQxfwbhgWRpDWVGZ3rdUI,Noise Background,0.191,0.0513,-36.297,0.103,0.0295,0.246,0.112,0.0681,76.0
"['1jit57yrNpSIMT0Yd2O9y4', '4W12lEvVl5wectUtRNrvDh', '3Czx2mC782Kp7t0rNKBVhH']",100000,False,1GDYlFYtKC9wmsiZpAJcOL,Focus Mind Noise,0.157,0.0297,-42.06,0.0589,0.831,0.973,0.112,0.0376,85.0
"['1jit57yrNpSIMT0Yd2O9y4', '4W12lEvVl5wectUtRNrvDh', '3Czx2mC782Kp7t0rNKBVhH']",110000,False,1UcNOxSTd5kUKH4hemoEWR,Smooth Loop,0.161,0.042,-43.175,0.0661,0.881,0.973,0.112,0.0392,132.0
"['1jit57yrNpSIMT0Yd2O9y4', '4W12lEvVl5wectUtRNrvDh', '3Czx2mC782Kp7t0rNKBVhH']",120000,False,4jB0sFOAErkGlUa14CAZLP,Humming Therapy,0.0999,0.0474,-39.506,0.0595,0.181,0.404,0.112,0.0354,47.0
"['1jit57yrNpSIMT0Yd2O9y4', '4W12lEvVl5wectUtRNrvDh', '3Czx2mC782Kp7t0rNKBVhH']",130000,False,579OPprGO2i6riHSWszIHh,Sleep White Noise Ambient,0.154,0.0134,-35.899,0.11,0.128,0.179,0.112,0.0318,84.0
['53f0gOO8G7iK7hWJNFaLs2'],280971,False,5jEwJ22Frnboabl7JNttso,Chana,0.59,0.587,-9.089,0.0432,0.0776,0.246,0.141,0.268,108.0
['53f0gOO8G7iK7hWJNFaLs2'],255703,True,4sckCDfF6PE2LMRFHJv8og,Sparks,0.408,0.712,-10.946,0.339,0.124,0.00108,0.155,0.287,82.0
['53f0gOO8G7iK7hWJNFaLs2'],174375,False,6mPMU5Fpdojq6td8hnxQYA,17,0.24,0.381,-11.492,0.0299,0.903,0.0382,0.103,0.171,91.0
['53f0gOO8G7iK7hWJNFaLs2'],215156,False,0sXF08bbIRiogR3p02IFlI,Tracks,0.453,0.816,-7.848,0.126,0.000996,0.741,0.158,0.293,165.0
['53f0gOO8G7iK7hWJNFaLs2'],359730,False,5f0Vxoivo937lnd7XpLYhp,A) The Guillotine,0.257,0.536,-9.978,0.0434,0.31,0.622,0.122,0.0985,110.0
['53f0gOO8G7iK7hWJNFaLs2'],196800,True,5r27oT9AoU9hwo1BKfqhFP,B) Frozen Garbage,0.587,0.803,-6.839,0.159,0.00309,0.0728,0.182,0.273,120.0
['53f0gOO8G7iK7hWJNFaLs2'],495211,False,3CfDKaBIhQ2icS2i7vWdkc,The Warm Red Light,0.44,0.622,-9.996,0.0507,0.526,0.849,0.402,0.0423,140.0
['53f0gOO8G7iK7hWJNFaLs2'],196201,False,1BgonPBpO7cfSN8zKGk15s,29,0.469,0.724,-11.26,0.416,0.45,0.818,0.117,0.222,76.0
['54R6Y0I7jGUCveDTtI21nb'],436106,False,3OWW0NBiBi1q9aZL5U97ZA,Christmas Medley,0.359,0.286,-11.954,0.0272,0.752,0.0,0.463,0.269,91.0
['54R6Y0I7jGUCveDTtI21nb'],170666,False,2vUbzYEwmoBIEaeY9WrNd3,Oh Christmas Tree,0.48,0.266,-16.089,0.0289,0.831,5.31e-05,0.152,0.204,133.0
['54R6Y0I7jGUCveDTtI21nb'],183506,False,0DPDaUxzujxJlQIQMli69D,Hark the Herald Angel Sing,0.535,0.305,-12.037,0.0261,0.722,0.0,0.0978,0.553,96.0
['54R6Y0I7jGUCveDTtI21nb'],228066,False,5EsIpGP2VlHPcwpyrDcihC,Zion's Daughter,0.548,0.514,-12.24,0.034,0.443,0.0,0.248,0.603,117.0
['54R6Y0I7jGUCveDTtI21nb'],182973,False,0WuWenXwPkTPh6NWvqIhWJ,The First Noël,0.3,0.373,-12.097,0.0306,0.665,0.0,0.413,0.551,180.0
['54R6Y0I7jGUCveDTtI21nb'],222106,False,7dOJ0jzQ0AOpsrmcFYGOWd,Oh Come All Ye Faithful,0.321,0.608,-10.258,0.0314,0.186,0.0,0.69,0.867,202.0
['54R6Y0I7jGUCveDTtI21nb'],101426,False,7FZA3XLwF2cGTImmc9ivD6,Petit Papa Noël,0.36,0.252,-12.637,0.0325,0.727,0.0,0.25,0.324,101.0
['54R6Y0I7jGUCveDTtI21nb'],180653,False,1l0ryq16flrS9ce1stAHF9,Darkness Is Falling,0.202,0.213,-13.816,0.0322,0.94,7.85e-06,0.195,0.294,60.0
['54R6Y0I7jGUCveDTtI21nb'],153133,False,4CMvFj3I4VQu9JGyqvJ9ls,Joy to the World,0.568,0.643,-10.276,0.0272,0.517,6.97e-05,0.353,0.934,91.0
['54R6Y0I7jGUCveDTtI21nb'],201906,False,1tjghILJBr5DzAIuCbg7XA,White Christmas,0.639,0.343,-11.204,0.0577,0.686,0.00207,0.152,0.494,81.0
['54R6Y0I7jGUCveDTtI21nb'],208000,False,10Tjlu4Ge1HWBZNjBn6IK3,Jingle Bells,0.709,0.758,-9.983,0.0259,0.393,0.0,0.107,0.966,88.0
['54R6Y0I7jGUCveDTtI21nb'],141533,False,3BJrElY4IIja8JZj9swl87,Feliz Navidad - Radio Version,0.824,0.809,-10.512,0.0322,0.122,0.000444,0.33,0.979,121.0
['54R6Y0I7jGUCveDTtI21nb'],198733,False,4ZY5pB2k3E2DUZUMsmlAGC,When a Child Is Born,0.332,0.219,-14.075,0.0356,0.837,1.08e-05,0.313,0.238,127.0
['54R6Y0I7jGUCveDTtI21nb'],261133,False,5CZ9msNl57FGynWsYO72Um,Little Drummer Boy,0.732,0.387,-15.728,0.0351,0.92,0.00639,0.0919,0.658,112.0
['54R6Y0I7jGUCveDTtI21nb'],307360,False,5lXT0PDWtcJF50Ms8Ax6L3,Mary's Boy Child / Oh My Lord - Long Version,0.762,0.679,-11.52,0.0455,0.393,0.0,0.371,0.96,112.0
['54R6Y0I7jGUCveDTtI21nb'],154600,False,74w3BHA8b4I6GPicMbM3Rq,Auld Lang Syne,0.753,0.578,-11.295,0.03,0.547,0.0,0.405,0.918,118.0
['59wfkuBoNyhDMQGCljbUbA'],82200,False,5zjaq20rxb3qjCmRKYC2A4,No Way Out (Intro),0.278,0.75,-16.863,0.633,0.773,0.74,0.557,0.0463,82.0
"['59wfkuBoNyhDMQGCljbUbA', '5me0Irg2ANcsgc93uaYrpb', '1YfEcTuGvBQ8xSD1f53UnK']",296266,True,6DhSAj7FN8INocc2I7c2wZ,Victory (feat. The Notorious B.I.G. & Busta Rhymes),0.46,0.731,-6.846,0.387,0.398,0.0,0.664,0.681,183.0
"['59wfkuBoNyhDMQGCljbUbA', '5me0Irg2ANcsgc93uaYrpb', '1wiBLzTI7z9RUwEpNPdFT6']",325933,True,1I10cwaVfmZccLfaY59D4S,Been Around the World (feat. The Notorious B.I.G. & Mase),0.815,0.529,-10.117,0.28,0.019,0.0,0.406,0.73,99.0
['59wfkuBoNyhDMQGCljbUbA'],295293,True,2w4tcZbJewLSWYliNc1UDr,What You Gonna Do?,0.738,0.734,-6.742,0.304,0.254,0.0,0.0998,0.564,83.0
"['59wfkuBoNyhDMQGCljbUbA', '5tth2a3v0sWwV1C7bApBdX']",238133,True,5eM0cw6H3ldehv1U93Z67S,Don't Stop What You're Doing (feat. Lil' Kim),0.816,0.834,-4.74,0.16,0.0201,7.12e-05,0.301,0.704,99.0
"['59wfkuBoNyhDMQGCljbUbA', '6I6t21SFbxZ7RbQgD5dN7U']",179440,True,1s3GByg5UOAEqTF9PwJiHD,If I Should Die Tonight (Interlude) [feat. Carl Thomas],0.217,0.418,-15.469,0.0607,0.191,0.0,0.0879,0.23,62.0
['59wfkuBoNyhDMQGCljbUbA'],366293,True,7dhCweSOw9vfIuermKmaYG,Do You Know?,0.557,0.861,-7.705,0.26,0.0977,0.00139,0.0946,0.557,172.0
"['59wfkuBoNyhDMQGCljbUbA', '5me0Irg2ANcsgc93uaYrpb', '3nFkdlSjzX9mRTtwJOzDYB']",325733,True,1HLkz4YI4tA9aZpYBLOJnm,Young G's (feat. The Notorious B.I.G. & Jay-Z),0.753,0.526,-8.32,0.352,0.153,0.0,0.141,0.483,170.0
