artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['20U0ZkzluaLiHuPaG6eGRd'],2jCK9O4zBiA9p1Duy6ftTw,DAMNED IF I DO,2022,10.0,22.0
['20U0ZkzluaLiHuPaG6eGRd'],4Yrrns2mPs1rVyV65QajE1,DAMNED IF I DO,2022,10.0,21.0
"['0K4qycWYB7fwNMvrtS9lID', '0cmkywqXv8nolEIn8ppzgO', '20XfshUALsTbm05gj6Ea5M']",2lcaGnfyiYN412yOOeLl9h,Under the Showers,2023,3.0,10.0
['20XfshUALsTbm05gj6Ea5M'],6ZSR6ZaFHIeekc4A54Lu1k,Ease the Mind,2023,3.0,3.0
['20XfshUALsTbm05gj6Ea5M'],2WL2oiKqIZ4eHkY6OdHaqw,Rainfall Hours,2023,2.0,24.0
['20XfshUALsTbm05gj6Ea5M'],51NYAfwGzPesBNG6NptYUj,Electric Droplets,2023,2.0,17.0
['20XfshUALsTbm05gj6Ea5M'],6c1SzkL3PBAYYBDdj9Jw0Z,Stormy Mood,2023,2.0,11.0
['20XfshUALsTbm05gj6Ea5M'],3QmyVB5mjIEJI5qs9bhPob,Starlit Showers,2023,2.0,10.0
['20XfshUALsTbm05gj6Ea5M'],7txCOPbTTOpwaMeaOMycfa,Downpour Distractions,2023,2.0,3.0
"['14hU8c4lzjAqsUTOH0207Y', '20XfshUALsTbm05gj6Ea5M', '0jTd4a49hUYB6X1Gn9cJFf']",633zqFUF5gion2ferWAVwO,Love for Piano and Rain Sounds Vol. 2,2023,1.0,16.0
"['20XfshUALsTbm05gj6Ea5M', '0xH1bgFshduejJalF03geC', '3hY8SgPZVIq0BM94IvjB5c']",1HF9WCVWuVGqvKN3KxDDfc,Piano and Rain Sounds for Stress Relief,2022,12.0,21.0
"['68E70smf2zjK1G61Dnp3od', '20XfshUALsTbm05gj6Ea5M', '549KLxUiNNtexQzQZpYNNT']",2RIpa9ATpLdC1KsQB5HcXF,Rain & Music: A Peaceful Piano And Rains To Feel Good Today,2022,12.0,20.0
"['4VVqo103SF6uARgHx4W85C', '2Cq2C1FYo2gZ5uvpjhRd09', '20XfshUALsTbm05gj6Ea5M']",1f8XmufcqLM96maoVf8d4u,Rain: Decreases Stress Level Vol. 1,2022,12.0,16.0
"['6Ea7EutobeFvQtrcO8PmJU', '7oU5AAW5FXppn4c3yKxVXK', '20XfshUALsTbm05gj6Ea5M']",1BDEMYmwj00ttuOtwiOrHm,Water Streams: The Best Selection Of River Streams For Deep Relaxation,2022,11.0,15.0
['20XfshUALsTbm05gj6Ea5M'],2d0SrlhFrtcKrH65b6I0T1,Dreamscapes of Bliss,2022,11.0,3.0
"['3OuW4vkXXhsqotGkTe1Ce1', '16Ap1QKJazgweVVnQ8KXiZ', '20XfshUALsTbm05gj6Ea5M']",6uVWNIG3jZJ4xJnWqxq9vF,Sleeping Sounds of Dreamy Rain Vol. 1,2022,10.0,26.0
