artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['2RjlAtCzmNvXw3c2Cryevh'],322lxJEwXRZtd1lRi5vIeR,Solo Piano I,2020.0,7.0,1.0
"['2NXIymIIep2hfxN3RPUSRA', '2Rx4S1mG6M2Q9tGgv2DJkh']",75zqzlszn8dzzAPBmvymtz,Deep In Somewhere,2022.0,12.0,23.0
['2Rx4S1mG6M2Q9tGgv2DJkh'],0k0oDQLWwyqNpCKhJ4Ds1K,Waves,2021.0,11.0,19.0
['2Rx4S1mG6M2Q9tGgv2DJkh'],7wjHxleHBfZlWaB06Xk2tL,Friend,2020.0,11.0,16.0
['2SDcND6iKTDeQtHYV7OmoB'],1b5IOOORHYytUEe2IzMN1C,"The Search, Pt. 3: The Hypothesis",2017.0,9.0,22.0
['2SDcND6iKTDeQtHYV7OmoB'],2r4LVNQLW5FBt0ctIYDvGG,Lechuga,2011.0,10.0,12.0
['2SgZrcrMDRd6TQjSp4RuNU'],5tXDI9e7aanV04meILjZnS,Shiny Little Corners,2021.0,4.0,30.0
['2SgZrcrMDRd6TQjSp4RuNU'],2kW62VBSSqawrcv4gVLbNR,The Heartland,2016.0,2.0,19.0
['2SgZrcrMDRd6TQjSp4RuNU'],102rwn8A7ZGBXPmCXOFk6I,The Wild North,2014.0,3.0,14.0
['2T1aUibqR2QC2sINIDQOAK'],3wYGed6ItsaF3k6f0eKRm8,Mambo Kingz Instrumentals Vol. 1,2015.0,2.0,9.0
"['2T3TY0bgKbi5lH3TfD0m7O', '6AysajaVPM9PDGZ3IPkWAR', '5Z5Ji33ZM8CvQ6AyYr0htL']",3nmcaXS6Gtywap47YKI095,Demo Tape 1993-94,2022.0,8.0,10.0
['2T3TY0bgKbi5lH3TfD0m7O'],5JUAaJWDybfCdGap9nnrqz,Beat Tape - 1992,2015.0,4.0,14.0
['2T3TY0bgKbi5lH3TfD0m7O'],53KCOQSc3CQeWwXxMyEB23,Early 90's Beats,2012.0,12.0,31.0
['2T3TY0bgKbi5lH3TfD0m7O'],0mCcF7DZ42usVYVjQxezJV,Drum-Break Hip-Hop Vol. 1,2011.0,2.0,1.0
"['2T3TY0bgKbi5lH3TfD0m7O', '6p1umqqUxVzE0RBb7qZAJC', '3c1kHvw4fLIH6GsWa8s7pB']",4qWnrQRVVIUYhAwqMFtpw9,Funky Redneck Visits Nippon,2010.0,6.0,22.0
"['6AysajaVPM9PDGZ3IPkWAR', '2T3TY0bgKbi5lH3TfD0m7O']",013N5GTAC9H5fP7TLdp390,Pablito's Way Instrumentals,2006.0,11.0,22.0
"['3zFaWPA8Jobgf5egh38KD2', '2T3TY0bgKbi5lH3TfD0m7O']",6Yv7iXDdfj8WNXkMR2rtHj,Diesel Truckers - Instrumentals,2004.0,8.0,10.0
"['3zFaWPA8Jobgf5egh38KD2', '2T3TY0bgKbi5lH3TfD0m7O']",49WpjkAz6s0UkN7A2nSbmo,Diesel Truckers feat. KutMasta Kurt,2004.0,8.0,1.0
['2TEs6ck1k6G842mXL1hscc'],17CwNTuIDADdQ6bXFY7Xq6,Los Reyes del Imperio,2022.0,5.0,19.0
['2TEs6ck1k6G842mXL1hscc'],05isxUmAUwCfFgLX3TItgI,Lo Que Quiere El Corazon,2022.0,2.0,11.0
['2TEs6ck1k6G842mXL1hscc'],55lBRf6qTWCSkj0gPdMSyt,Sin Mirar Atras,2021.0,12.0,27.0
['2TEs6ck1k6G842mXL1hscc'],1WakZZV5tTilJ8SLPxT2sx,Amores Que Sueñan,2021.0,6.0,7.0
['2TEs6ck1k6G842mXL1hscc'],0cZkhYERUPQtBULQb1J9JP,Construyendo Un Nuevo Camino,2021.0,5.0,29.0
['2TEs6ck1k6G842mXL1hscc'],3hhx8LaqhPYt4MZfowFZGv,Jamas Imagine,2021.0,5.0,28.0
['2TEs6ck1k6G842mXL1hscc'],07CIwCt2s8trD5Y65AD8Ap,"Nuestras Canciones, Vol. 1",2021.0,5.0,28.0
['2TEs6ck1k6G842mXL1hscc'],15u0VzSR8hdZucmk667a4v,Pedazo De Luna,2021.0,5.0,28.0
['2TEs6ck1k6G842mXL1hscc'],5rxb0t6bz8VLfHkpmVsj9Z,Amores Como El Nuestro,2021.0,5.0,28.0
['2TEs6ck1k6G842mXL1hscc'],58aQdg3qjsbQeyrjHOHKNZ,"Diez Años De Estrellas de la Kumbia, Con El Que Representa (Volumen 1)",2021.0,5.0,26.0
['2TEs6ck1k6G842mXL1hscc'],4lOOgoRdQsTKWn5J1zHZJF,"Salvame, Con El Que Representa",2021.0,5.0,24.0
['2TEs6ck1k6G842mXL1hscc'],4sVgeoa9CuRcljs9BVDe6p,"Empezamos De Cero, Vol. 1",2020.0,11.0,27.0
['2TEs6ck1k6G842mXL1hscc'],1Up3t1wWa1xtcU4W7BYE7h,Eres Mi Sueño,2020.0,11.0,27.0
['2TEs6ck1k6G842mXL1hscc'],0GLe2iYIhf9Z0UpXSHLXnW,No Te Merezko,2020.0,11.0,27.0
['2TEs6ck1k6G842mXL1hscc'],2t99Zsi1JRdKd0csKjKhAC,"Con Sentimiento, Caliente Como El Fuego",2019.0,5.0,14.0
['2TEs6ck1k6G842mXL1hscc'],64ZfAb8QLN0uObP1loMNtO,Yo Te Esperare,2019.0,5.0,1.0
['2TEs6ck1k6G842mXL1hscc'],6VHxJkIjlj7rIkndKEl6Wf,Recuerdos,2019.0,1.0,28.0
['2TEs6ck1k6G842mXL1hscc'],268KB2kZ6Bolhcg87T8hIo,Exitos y Mas!,2016.0,11.0,30.0
['2TFvZ1ILNXxgwZ5y6mtaXp'],50TlGt1S72sI8a8CJhcDPD,Al Estilo de Santo & Johnny,2015.0,5.0,19.0
['2TFvZ1ILNXxgwZ5y6mtaXp'],2Pq7g4aIc9HQTxvq8RwAbf,Camuflash,2011.0,11.0,1.0
['2TH10FKGxUI8KXWhov7XIg'],2wPSS26eAgkKl01NLLbhL3,In Praise of Bombast,2021.0,6.0,18.0
['2TKC2gVUNBUAlFqfLUoaj0'],5HhT0ufB3fa8DSwN72FqsV,TEMPO,2018.0,3.0,9.0
