artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['0xnukP6q4PWNqQUjQjMeSb'],6f98Rfi8rFnJj9wN3yoJvl,80s New Wave Music from the Movies,2017,4.0,4.0
['0xnukP6q4PWNqQUjQjMeSb'],2MLxAaPrnuBeQG8iE6Zqu0,80s New Wave Music from the Movies,2017,3.0,3.0
['0xnukP6q4PWNqQUjQjMeSb'],6uyJuY5HoOykjyj1LCEgjS,Tribute to Rihanna Movie Music,2016,9.0,9.0
['0xnukP6q4PWNqQUjQjMeSb'],2FfVYgEQm8J9DydE5Da0DU,Songs from Cult Movies,2015,6.0,6.0
"['3MKCzCnpzw3TjUYs2v7vDA', '0xpPJrazyuOJrjCxYuBLc2', '6QtdW6ut1woUmwrTanEF8s']",7yLCthH9EftbQGykQbSB3G,チャイコフスキー:交響曲 第3番「ポーランド」&第6番「悲愴」,2021,7.0,21.0
"['3MKCzCnpzw3TjUYs2v7vDA', '0xpPJrazyuOJrjCxYuBLc2', '6QtdW6ut1woUmwrTanEF8s']",6xZle7d1CYtZjIM2JsZFUr,チャイコフスキー:交響曲 第2番「小ロシア」&第5番,2021,6.0,23.0
"['3MKCzCnpzw3TjUYs2v7vDA', '0xpPJrazyuOJrjCxYuBLc2', '6QtdW6ut1woUmwrTanEF8s']",3EfE3nkAVUTuzs8BI9sSlv,チャイコフスキー:交響曲 第1番「冬の日の幻想」&第4番,2021,5.0,26.0
"['6n7nd5iceYpXVwcx8VPpxF', '0xpPJrazyuOJrjCxYuBLc2', '3vtq8dvVwzXo3xoNrms8Wm']",2HfI0U761Xl0NBcNMJH7IS,ドヴォルザーク:交響曲第 8番,2020,4.0,22.0
"['1W06ZPJOEgkXlHjQRPH5t3', '0xpPJrazyuOJrjCxYuBLc2', '2mRcW1hyPk87K7KiBdLyc6']",3SZkDrFD6rocEkKSk22OcA,シューマン:チェロ協奏曲 イ短調 チャイコフスキー:交響曲 第3番 ニ長調,2019,4.0,25.0
"['5ihY290YPGc3aY2xTyx7Gy', '3giIkjzoippUSSxYFkLko7', '0xpPJrazyuOJrjCxYuBLc2', '7aEZ4wPWZg1X5NzZVt2Yre']",4x6BR5cCHiT2muWp9P6oNU,グリーグ:ピアノ協奏曲、他,2018,9.0,26.0
"['7ie36YytMoKtPiL7tUvmoE', '0xpPJrazyuOJrjCxYuBLc2']",3QXmFYe7amVZ2qLOzvkw81,ストラヴィンスキー:バレエ音楽「春の祭典」&組曲「火の鳥」,2018,4.0,18.0
['0xpPJrazyuOJrjCxYuBLc2'],4jKDMCwsFl6YUa81Eld2od,リムスキー=コルサコフ:交響組曲「シェエラザード」、ムソルグスキー:組曲「展覧会の絵」,2018,2.0,21.0
"['6s1pCNXcbdtQJlsnM1hRIA', '0xpPJrazyuOJrjCxYuBLc2']",1UeBWbBBESlXeWoRAlW1iN,ショスタコーヴィチ:交響曲 第 5番,2018,1.0,31.0
"['0xpPJrazyuOJrjCxYuBLc2', '3U8tIz4J6M8Z7rhsKW6pCx']",4yvpHSE28Jz6FQl9Kv1ypj,ブラームス:交響曲 第 4番、シューマン:交響曲 第 4番,2017,9.0,27.0
"['0xpPJrazyuOJrjCxYuBLc2', '3U8tIz4J6M8Z7rhsKW6pCx']",4JZlauVMOriA9FgJnueC2v,ブラームス:交響曲 第 2番、ウェーバー:歌劇「魔弾の射手」序曲、歌劇「オベロン」序曲,2017,5.0,31.0
