artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['7J679whskdmHt6IcfCZ1bH'],66LhlnGDcvFCpYVUu0brzG,Quarantine Sessions,2021,5.0,21.0
['7J679whskdmHt6IcfCZ1bH'],2W4g0qQ0e5reatQhymQPDl,"1,000 Years (Like a Day)",2019,2.0,14.0
['7J679whskdmHt6IcfCZ1bH'],0CVxGnYtc98IyUaLPAjy8Q,Farewell To The Familiar,2003,1.0,1.0
['7JfGGDKGTmy0JyjawXv0F6'],1ABztnZI9JJrhSj6N363hK,Portal,2020,6.0,19.0
"['7JgdmzLGGrt808y5C1STh0', '4IQHUz0kIZfHNEOyPQwI7J']",2jdMksMugJm2C34IMI3knP,Disappear,2021,5.0,21.0
"['2etIU3hFiRxPDxFNB0KbOa', '7KGlfdlPYLWyfMTxAOmMc2']",6GpvqgjUyj3FeYUHtyx218,Keep The Piece,2022,1.0,28.0
['7KGlfdlPYLWyfMTxAOmMc2'],0y0huFsP5aiFGgB5ypNWsB,Mango Michelada Instrumentals,2021,12.0,2.0
['7KGlfdlPYLWyfMTxAOmMc2'],0ozxgJfvgdVbVmn2duUvOP,March 31st: Born Leader,2019,3.0,31.0
['7KGlfdlPYLWyfMTxAOmMc2'],1SPG4BsdsjJxQRShJstRgV,All Funk No Love,2017,7.0,6.0
['7KGlfdlPYLWyfMTxAOmMc2'],4O6xCzz5O9z5I8dAVdzsP0,Predator,2017,2.0,12.0
['7KGlfdlPYLWyfMTxAOmMc2'],7Gy04H9SOs4Kym2ruhNROd,Real B4 Rap 2,2016,8.0,31.0
"['0OPToQy50FKVDCXg0yXnh7', '7KGlfdlPYLWyfMTxAOmMc2', '6AsU7ih0kgT4WDMPTGc4E9']",2QOmXy6DhRMgsOwRDrGTIh,Loyalty,2015,10.0,27.0
"['7b3VVQRlB5ckIUNAicxntu', '7KGlfdlPYLWyfMTxAOmMc2', '0HtXiN4eGY6UbzE49xqwkF']",2Xs2gHPHALyrPNFREkditm,Clock Is Tickin,2015,7.0,23.0
['7KGlfdlPYLWyfMTxAOmMc2'],3xgMjWKo571IIQZMj7v4zb,Superstar Supreme,2015,1.0,1.0
['7KGlfdlPYLWyfMTxAOmMc2'],1HJ3Yjux2JG4aXXcoT2KxT,Educated Gangster,2014,5.0,5.0
['7KGlfdlPYLWyfMTxAOmMc2'],65a1bwrNtuNwsGscJSU9mL,RealB4rap,2012,11.0,13.0
['7KGlfdlPYLWyfMTxAOmMc2'],340SUfxQaqVqIDDeVJKvlj,A Divine Life - Birth Is Free,2012,9.0,18.0
['7KGlfdlPYLWyfMTxAOmMc2'],6PtwTYAiS8ODiWDxyVRltE,Imaginary,2011,10.0,11.0
['7KGlfdlPYLWyfMTxAOmMc2'],1FllvLQzgRQdtoUnu9LhN7,Angel's Advocate,2011,10.0,11.0
['7KGlfdlPYLWyfMTxAOmMc2'],0qPWBUrkCefLTgS7X3QLRo,G'z and BZ'z,2011,5.0,10.0
"['7KGlfdlPYLWyfMTxAOmMc2', '2LavDRmZxjQVkUkZy1f7TF']",2X72EbGssiMYLy16vvgoxr,Dis the Haters,2011,2.0,22.0
['7KGlfdlPYLWyfMTxAOmMc2'],6oqXBHeRj87aR8RAbqYpPI,Conspiracy to Commit Murder,2010,3.0,23.0
['7KGlfdlPYLWyfMTxAOmMc2'],6Frr9gv73dJI6VPmVHPhdk,Concordat,2009,6.0,22.0
['7KGlfdlPYLWyfMTxAOmMc2'],6HtAyfXS7Ge02UxMQpqqwe,BIZNESS MEN PT. 2,2009,5.0,10.0
['7KGlfdlPYLWyfMTxAOmMc2'],2l06qttNwntzFVjFPAHoeP,Dreamland - That's It ! - A New Kind of Afro-Euro Fusion,2008,12.0,17.0
['7KGlfdlPYLWyfMTxAOmMc2'],7oyTIMt6MHU6lKrDvmm0eK,The Conspiracy,2008,1.0,1.0
['7KGlfdlPYLWyfMTxAOmMc2'],0n3ymNHHvTMGDMw4w1eneB,Sex Is the Key to Immortality,2007,9.0,11.0
['7KGlfdlPYLWyfMTxAOmMc2'],500GOXQxxvgHRIZlscjqXv,Ignorant Illumination (Contradictions),2007,5.0,22.0
['7KGlfdlPYLWyfMTxAOmMc2'],16y8H5EJAyxm1457Zyz11m,Saturday Morning Cartoons,2006,2.0,16.0
['7KGlfdlPYLWyfMTxAOmMc2'],6wBCTJstjHYeBONNygRUva,Perfectionist,2006,1.0,10.0
['7KGlfdlPYLWyfMTxAOmMc2'],5wkjyFvR0YjfVjTwn7u9cX,Reincarnated,2006,1.0,1.0
['7KGlfdlPYLWyfMTxAOmMc2'],6DaJynlI1qKQzOUk4Tn0Th,Negative Hate Destruction,2005,12.0,13.0
['7KGlfdlPYLWyfMTxAOmMc2'],5r2WJP41ahNikbqOajC5e4,By Any Means,2005,11.0,15.0
['7KGlfdlPYLWyfMTxAOmMc2'],3PZ15ZvTvajbF12izy3oRH,The First Pyramid,1996,,
"['1cyjq33gQIccRO7ttzpAS8', '7KIargDQasuGx1FxhIOF3U', '211p9eSLzwF6iuXzzP5xTl']",6qb7wUx3tIaajpD9znEke2,Hillside,2021,10.0,22.0
['7KgUsxpp2hGyR5jbMDvfUJ'],22uDor8Xku8bxZaO4X46Ym,Snooze Companion,2017,12.0,5.0
['7KgUsxpp2hGyR5jbMDvfUJ'],4zuPS8PxA5jfzFdKhqZEFI,Block Out the Noise,2017,10.0,20.0
['7KgUsxpp2hGyR5jbMDvfUJ'],0ElNVlvsGntCK3vOnCosiv,Campfire Comfort,2017,10.0,18.0
['7Kmplk6Rgd6m2JgwUoESRX'],6EOLel1WZI00FwCVYf2BaX,Gli animali... Che simpatia (Original Television Soundtrack),2019,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],54AO4l9TAqEH2ogpcUKdDi,Zoo folle (Original Television Soundtrack),2019,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],466AGJtfisxnmQvnvrcLo4,Africa Oscura,2018,10.0,2.0
"['6NXwJ5CEziDQrfimLpr7gZ', '7Kmplk6Rgd6m2JgwUoESRX']",4CW8oM19vtGd4TJi1qmmZu,Panoramic Feelings (Mellow Carefree Lounge Music),2013,1.0,11.0
['7Kmplk6Rgd6m2JgwUoESRX'],0w4XnqAmx0ROIFWO0P5a9c,Il Trionfo Della Morte,2007,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],5VWALGguSmp9l3FN2BWcNP,Lavoro e tempo libero,1980,10.0,24.0
['7Kmplk6Rgd6m2JgwUoESRX'],4tnVjGZtkY78ogNxpzWjjV,Telefilm N.2,1974,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],2PecEieRFv19jgVdTILlHl,Telefilm N.3,1974,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],3mGsZS3cDe66369Byzdwtz,Arie antiche,1973,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],3NPrYc3QGG9TC4qNuZTNSA,Informale N.3,1973,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],1FrthR1CB1FkezMlXNfq5Q,Sounds From The Far Space,1973,,
['7Kmplk6Rgd6m2JgwUoESRX'],1FoZrapTUHdskm1KiXWJ84,Elettroformule,1972,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],5jqXIkVms6oeekACovhPKL,Sorry Puppet (feat. The Bid-On),1972,,
['7Kmplk6Rgd6m2JgwUoESRX'],1shX0wfsUK2qbo8VO9y3qI,Percussioni in crescendo,1971,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],1O478PmzPqCVuGbhg0bNX1,Under pompelmo,1971,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],42gVkTkkAOeJjwCM9aGEpl,I colori dell’orchestra,1970,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],0jtvexqPareYsIQPCFgY1e,Musica da ballo,1970,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],5iO0vmUK33APfSKtdGObgv,Ballate con noi N.1,1969,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],55h6mD2EZGU1kv3q5v6YEV,Ballate con noi N.2,1969,1.0,1.0
['7Kmplk6Rgd6m2JgwUoESRX'],7dO68De7vGMF9s9y68SEV7,Melodie per archi,1969,1.0,1.0
