artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['22GSc8UsPGIP5mrM4W57rY'],03i7Au8ht5adjNI3Us3ZFN,Epitaph,2004,8.0,3.0
['22GSc8UsPGIP5mrM4W57rY'],1kSross9NcR5cC395iK4y9,Onset Of Putrefaction,2004,1.0,1.0
['22JbAaWA5Abf5esf6N4PHY'],2jQgSgqdYOhLyX0QVbcGWM,Live Today,2022,9.0,5.0
['22JbAaWA5Abf5esf6N4PHY'],45CmtTsIRmklTMbKVZ2XK4,Cello Loves Disney,2017,6.0,16.0
"['22JbAaWA5Abf5esf6N4PHY', '0xUjSkSR3C4kdhOIxXRJUw']",1mmQGP9QVifxN0I4pOkRQ4,15,2016,4.0,6.0
"['22JbAaWA5Abf5esf6N4PHY', '0xUjSkSR3C4kdhOIxXRJUw']",5JoSQrwia60FCSQgbHMLkF,15,2015,12.0,18.0
['22SXqNAFCWyVYuUfvUo6zj'],2WDlp0qPSo6uE0CpwfdXKh,"Pop Pianology, Vol. 3",2020,3.0,13.0
['22SXqNAFCWyVYuUfvUo6zj'],2h5WWe3Pj8r03c47F6VDSn,Dewdrop,2020,2.0,21.0
['22SXqNAFCWyVYuUfvUo6zj'],2ZtGVQZHjgw84jcqwbwNFS,Rooms Over the Sky (Piano Pieces),2019,9.0,13.0
['22SXqNAFCWyVYuUfvUo6zj'],54Gp3OHypF0W6MdP5y85N2,Winter Piano Tales,2018,11.0,23.0
['22SXqNAFCWyVYuUfvUo6zj'],3gA7ZA0gMp1PuZqilZ47pf,Fairy tales piano songs ...and more...,2018,11.0,20.0
['22SXqNAFCWyVYuUfvUo6zj'],6zAVBD8Adk85gMBs0s4eRb,Little Secrets & Dreams in the Mirror,2018,2.0,2.0
['22SXqNAFCWyVYuUfvUo6zj'],5VDGseYC5xtrRdgNxIVbtv,"Pop Pianology, Vol. 2",2018,1.0,24.0
['22SXqNAFCWyVYuUfvUo6zj'],1XoS6Xfg4nfRMkz9xtAHpq,Pop Pianology,2018,1.0,11.0
['22SXqNAFCWyVYuUfvUo6zj'],6C1QeZhAV4yGddYHTgawUu,"The Soul of the Radio, Vol. 2",2017,6.0,30.0
['22SXqNAFCWyVYuUfvUo6zj'],7kA7YtzPMDTZGVuuG7ifX6,Sogni allo specchio,2017,3.0,21.0
['22SXqNAFCWyVYuUfvUo6zj'],5TMMOzWFkVnSSTeIrIkyUe,"The Soul of the Radio, Vol. 1",2016,7.0,19.0
['22SXqNAFCWyVYuUfvUo6zj'],534gqESCRunhyaA8aow9vV,Piccoli Segreti,2015,9.0,1.0
['22ZJQQF9iAQDYZplRqLg1z'],7EFwDmjRlhQ1mMF4to1N0j,Ten Years Of Crap - Live,2022,5.0,27.0
['22ZJQQF9iAQDYZplRqLg1z'],3rpHHJjJcemvtphFPaXD5U,Rebel Dayz,2019,6.0,21.0
['22ZJQQF9iAQDYZplRqLg1z'],2TvDAqulhRuahW0LhVF8kV,Roadkill BBQ,2017,5.0,26.0
['22ZJQQF9iAQDYZplRqLg1z'],5GFNkbsyGwsPIf2PzYj7Qu,Rats & Rumours,2014,10.0,17.0
['22ZJQQF9iAQDYZplRqLg1z'],0UXaglQlswMpnWaSayHprI,Nitrogods,2012,2.0,24.0
['22ZJQQF9iAQDYZplRqLg1z'],5dBAbCOGpyh5nS6WuY7AL0,Nitrogods,2012,2.0,24.0
['22gfr3V2scsWkQMO8u0sqk'],7KoAcjQngShvCIfHcIYNbz,Star Stuff II: Take Me to Your Leader,2022,12.0,22.0
['22gfr3V2scsWkQMO8u0sqk'],51w6CmC2XCCLzFnfY5mX5P,Star Stuff,2021,11.0,16.0
['22gfr3V2scsWkQMO8u0sqk'],0PyhH008vq5sAgy3rPbor2,Social Distance,2020,5.0,22.0
['22gfr3V2scsWkQMO8u0sqk'],0M7YTqftpopQ6Tg4e548J1,Xscape Velocity,2018,7.0,13.0
"['23tKZAP5ocrXB7S57YB3N0', '04MWLHiBtM6bdSM1aRGJyy', '2k3KWBwq5kOQ0nyH33Wu2a']",15Qz9NfOL6uOT5HZ4Ochb5,La Luna,2020,11.0,26.0
['24HEuBZ2Iqcq7To1Vgi8qm'],3Ou24yQ2yf2ETvdcx8PMms,Eso Es Bola (Deluxe Edition) [El Principe y Damian The Lion],2016,4.0,1.0
"['6bO2Z8dVVFFNZfRzo7DeSy', '25el1xg2MdevW9TJbuNMRI', '24pnYmyDZqfVvQGqK1RZ9b']",3n4aoA58CZFLRUa8Z8oTW1,Sunstroke,2020,11.0,26.0
['24usPS6scUvbG7goMpZbHJ'],6KizmS42kRiRieaMeIvYuc,9,2019,6.0,14.0
['25IpNXDRxJS38E2rLJeCF3'],0iWtuSZKnw810C6qW90Ggn,'Til I Start Speaking,2021,8.0,20.0
['25IpNXDRxJS38E2rLJeCF3'],3haUt8DBM17j6jmLs8tzbc,'Til I Start Speaking,2021,8.0,20.0
['25KNo5GDS6ZpLkjasaecA3'],1XeHTE7xplzeC2hHu0YOFy,Symphonik,2020,4.0,3.0
['25KNo5GDS6ZpLkjasaecA3'],3WOXfwz9Ew15oHJbfTF0CE,Treasures From The Temple,2018,4.0,20.0
['25KNo5GDS6ZpLkjasaecA3'],7LcmC9Q944UVNeve2uxMZt,Temple Of I & I,2017,2.0,10.0
['25KNo5GDS6ZpLkjasaecA3'],0XSDdumsjbikADECzlPMXq,Saudade,2014,3.0,25.0
['25KNo5GDS6ZpLkjasaecA3'],06CDsx2HDFn57Y66uNI7Iz,Culture Of Fear,2011,6.0,28.0
['25KNo5GDS6ZpLkjasaecA3'],7FYZT6dAKPQyLl5mUAZ263,Culture of Fear,2011,6.0,28.0
