artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['2a3HNMLb9HvUx0IlFwn9Fz'],4NImBT4VzmIJxpRCactdQT,Paraspectral,2018,3.0,6.0
['2a3HNMLb9HvUx0IlFwn9Fz'],4jUO5Epi7GYWanz7BgNIWa,Conditioned to Murder,2015,12.0,11.0
['2a3HNMLb9HvUx0IlFwn9Fz'],0ve5aGzjD2Bvxu27E7kp22,The Hard Grows Harder,2011,8.0,8.0
['2a3HNMLb9HvUx0IlFwn9Fz'],1ThgJjKDqz4c91Ete5sZKf,The Wounds That Never Heal,2009,10.0,12.0
"['1KzAfF3CpZlSDnPNcdTmxm', '7sJ3ngSMvvXGdVLnODPqXa', '2aV1h0PGzqCuFT8kf9HbVO']",4Q5xedhtYyB2l8r59QbKoN,Don't Rush to Grow Up,2018,4.0,1.0
['2acptETX6n0IHKXyybYgWS'],3RdzqbT9BzDpY31Q3I3jS7,The Story Of Storyville,2022,3.0,11.0
['2akNRvGNB400IDDUMr1PHW'],0I0JE2RocLzI0ymeGGbfvC,Faith Of My Father,2021,11.0,5.0
['2akNRvGNB400IDDUMr1PHW'],4INKppNLM2RZwGmggvpMvY,Forever Amen,2020,3.0,27.0
['2akNRvGNB400IDDUMr1PHW'],4Mw4r1cRUOBo4fREvBeBr8,Blackout,2018,3.0,30.0
['2akNRvGNB400IDDUMr1PHW'],3JvCAFSk7tXKtofbUtbJfA,The Undoing,2014,8.0,25.0
['2aqdy2BLMhGFHhRb1ZbDCF'],2boBRPkG9rxQmJm80PhLaE,No Hard Feelings,2021,5.0,7.0
"['0h0C8mMT21p0Ixq6qO1UMH', '2aqdy2BLMhGFHhRb1ZbDCF']",6rPppWvk30gHtlHHgBsEf0,Yellow Tape 2,2020,5.0,15.0
['2aqdy2BLMhGFHhRb1ZbDCF'],6h4BYuRzGKq3nOQ5hkV8Ue,Born To Win,2019,11.0,15.0
['2aqdy2BLMhGFHhRb1ZbDCF'],6JfbuP55Ubr1X8GsSSlLxm,Born To Win,2019,11.0,15.0
['2aqdy2BLMhGFHhRb1ZbDCF'],4DSNxCPhIew7LGNR0mTJH1,Countin' Bands,2019,7.0,4.0
['2aqdy2BLMhGFHhRb1ZbDCF'],0klZ7b7pvTNo03HMuhE1iJ,Misunderstood,2019,3.0,29.0
['2aqdy2BLMhGFHhRb1ZbDCF'],0jDkJseIpUymyUNO14j1uy,Lifestyle,2018,11.0,16.0
['2aqdy2BLMhGFHhRb1ZbDCF'],5dFUyHVLPHmVcP0YuzJK8U,Forever (Deluxe Edition),2018,5.0,24.0
"['0PzeHiqUDy6QuyVbZq7gmP', '2aqdy2BLMhGFHhRb1ZbDCF']",2Fe9mwVxHfnvx5l9tMRlVw,Blue Diamonds & Red Rubies,2018,4.0,5.0
['2aqdy2BLMhGFHhRb1ZbDCF'],482l9PLbuhyi7XN8TMCSAk,Deeper Than Rap,2018,3.0,31.0
['2aqdy2BLMhGFHhRb1ZbDCF'],08a75BPr6NhNyzBITXnpTR,Forever,2018,1.0,19.0
['2auiVi8sUZo17dLy1HwrTU'],4WF4HvVT7VjGnVjxjoCR6w,When I Get Home,2019,3.0,1.0
['2auiVi8sUZo17dLy1HwrTU'],3Yko2SxDk4hc6fncIBQlcM,A Seat at the Table,2016,9.0,30.0
['2auiVi8sUZo17dLy1HwrTU'],6MsVbAqh2A9i7jYvPOsGNx,Sol-Angel and the Hadley St. Dreams (Deluxe),2008,8.0,26.0
['2auiVi8sUZo17dLy1HwrTU'],7n73prs066Dq9NbZBqRxi2,Sol-Angel & the Hadley St. Dreams,2008,8.0,26.0
['2auiVi8sUZo17dLy1HwrTU'],0DEELTj7PdjJllo8BLfcFU,SoL-AngeL & The Hadley Street Dreams (Instrumental),2008,8.0,26.0
['2auiVi8sUZo17dLy1HwrTU'],4VynJhk94Imsjg6rBiQb9e,Solo Star,2002,,
['2ayt5jDUuTCpoTG7sHSvuq'],71EHdMFakvUYoX3dmOz6Mv,Anloga Junction,2020,4.0,24.0
['2ayt5jDUuTCpoTG7sHSvuq'],7nnkIiGBMhqnTqwEEqvTrr,Epistles of Mama,2018,6.0,27.0
['2ayt5jDUuTCpoTG7sHSvuq'],5DAnRaWABIjjFFNdMFOPrc,Necessary Evil,2014,11.0,23.0
['2ayt5jDUuTCpoTG7sHSvuq'],3Y1DStLDunCnvk0lnKcj9L,Necessary Evil,2013,11.0,23.0
