artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['26nltVmOVeIfYmwcmqTm7e'],28LnhFo3RCWCGdeHC8RU5G,Advent Collection (Remastered),2021,11.0,26.0
['26nltVmOVeIfYmwcmqTm7e'],1WIu8C4I4thtDIbEVM6kLK,Suite No. 2: World Keeps Spinning,2020,1.0,10.0
['26nltVmOVeIfYmwcmqTm7e'],2pH4edQP8K4fqbt3Fce09W,Suite No. 1 Oh Dreamer,2018,11.0,9.0
['26nltVmOVeIfYmwcmqTm7e'],0yqtrHyclhTchWJPvK3XvO,All Is Not Lost,2017,1.0,27.0
['26nltVmOVeIfYmwcmqTm7e'],3jhsPWOZCdFVRtf61sASx2,Brother,2015,2.0,17.0
['26nltVmOVeIfYmwcmqTm7e'],6MYAXAayy58UfhF3Guh6uR,"Advent, Vol. 1.",2011,11.0,28.0
['26oVsVVN67RpzB1ymzbOpD'],4OUwOhXHI1Z9DH69sEZ6Xj,A Tunda Abierta,2021,6.0,11.0
['26qmuJTgE3g67pPClBQ3Iu'],23QOmvf6EH0Vqcn2nddDik,Christmas Baby 3,2022,12.0,24.0
['26qmuJTgE3g67pPClBQ3Iu'],5xec3krvwd4AWFwMUfQAT3,Why Do Fools Fall In Love,2022,2.0,14.0
"['26qmuJTgE3g67pPClBQ3Iu', '3Yjg8XNIKcGDyzWVIJFNpy']",1aQD8ZKIaqdh06LqoGxV1A,Autumn,2021,11.0,5.0
['26qmuJTgE3g67pPClBQ3Iu'],1IevyDn1zhJLeDAqPxRYz2,No Socks 2,2020,12.0,11.0
['26qmuJTgE3g67pPClBQ3Iu'],4qRnFxKE2ZmntHKs9fzeS1,No Socks,2020,5.0,8.0
['26qmuJTgE3g67pPClBQ3Iu'],45uUrDo8DAc3f05dXga9Hn,Marc My Words,2019,12.0,6.0
['26qmuJTgE3g67pPClBQ3Iu'],7rVbBSzPC7x4hxsxQ8bBbj,BeBe Kidd 2,2018,8.0,31.0
['26qmuJTgE3g67pPClBQ3Iu'],54NDs8UZdTyN04Vc579huU,BeBe Kidd 2,2018,8.0,31.0
['26qmuJTgE3g67pPClBQ3Iu'],6tAisQXRKLXqie5h33L9k1,Bebe Kidd,2017,7.0,24.0
"['26qmuJTgE3g67pPClBQ3Iu', '7HDSr9tU1zLfPCwBcptocV']",5JO0hY4OfNwuQqPXo0yaQT,In the Field,2016,7.0,22.0
['26qmuJTgE3g67pPClBQ3Iu'],4wa2gZiONYRfC3Gw3ByoxL,Just Because,2016,5.0,19.0
['26qmuJTgE3g67pPClBQ3Iu'],44lEwjAxE5Bq0Tq9YAZXWt,Rookie of the Year,2015,8.0,13.0
['26qmuJTgE3g67pPClBQ3Iu'],7vifhKenPKAc5mrm3BidFa,BeBe Kidd,2014,10.0,14.0
['27BickAUDQz5wziY0VOA2S'],3FlEMfLqK8qpJDyC9ZCRSv,Better than Never,2022,9.0,23.0
['27FGXRNruFoOdf1vP8dqcH'],0j1qzjaJmsF1FkcICf3hRu,Cassie (U.S. Version),2006,8.0,7.0
['27OdVby2oeFjM1C5XvC3hC'],0EnIx5ElijSpEfcFfOPvRV,Ghetto Journal,2022,1.0,26.0
['27kBITGF0FaikAGzLhGS3l'],0HHr3QEWGWsFVucPdhEh0t,Lost In Jellywood,1998,,
['27kwwOnjG09lmLHv3zle84'],4xGgZUjNEOVOgWEtdHEoow,Timeless Luxury,2022,12.0,7.0
['27kwwOnjG09lmLHv3zle84'],7v5crKeFJ7zZYaF7G6harW,The Art of Drone - Tension & Drama,2022,8.0,31.0
['27kwwOnjG09lmLHv3zle84'],3p22M955AkqezZkKgli8be,Italian Songs 2,2022,3.0,17.0
['27kwwOnjG09lmLHv3zle84'],1SP4AakyK8wU2WyETBlBXP,Mon ange (Bande originale de la série télévisée),2022,1.0,6.0
['27kwwOnjG09lmLHv3zle84'],6qurcOzugU2XnIWeqeGycZ,Dramedy Season 2,2021,11.0,24.0
['27kwwOnjG09lmLHv3zle84'],132bNpyzTjwcf9FZxBy7BR,Classic Jazz - Trios & Quartets,2021,6.0,14.0
"['27kwwOnjG09lmLHv3zle84', '3xODAav1Ryy8BspJHjbHcL']",1atP4hfVKAF0d07D4HjpbR,Classic Jazz - Divas & Crooners (Edited),2021,3.0,15.0
"['3xODAav1Ryy8BspJHjbHcL', '27kwwOnjG09lmLHv3zle84']",1ANHbv3hwaHYnRIMgyBbg7,Lost in Paradise,2019,4.0,15.0
"['27kwwOnjG09lmLHv3zle84', '3xODAav1Ryy8BspJHjbHcL']",4v6ineFpnB1VQZOJ1E8lE4,Creative Cues - Cinematic Pop,2019,1.0,31.0
"['27kwwOnjG09lmLHv3zle84', '3xODAav1Ryy8BspJHjbHcL']",7gWjfypo6KDf6IXJdCgX45,Creative Cues - Cinematic Orchestra,2019,1.0,30.0
['27kwwOnjG09lmLHv3zle84'],0BObOvPSVhnJRtXydfUVOT,The Art of Cello,2018,11.0,28.0
['27kwwOnjG09lmLHv3zle84'],16zhS0Ivw5PriIL8teRR3O,Joyful Dramedy,2018,7.0,30.0
['27kwwOnjG09lmLHv3zle84'],0tDmR3b56mbFRp3Y0rLe9b,Quirky & Silly 2,2018,7.0,26.0
"['27kwwOnjG09lmLHv3zle84', '3xODAav1Ryy8BspJHjbHcL', '33m7gT6eP9unPArdo8wfbr']",2LvH9L92gbYPR6pADRmVRC,Filmic Piano 2,2018,6.0,8.0
['27kwwOnjG09lmLHv3zle84'],3BRJzkYFnnHCR5hoFGDknB,Dramedy,2017,6.0,8.0
['27kwwOnjG09lmLHv3zle84'],3OmNVAaXd1xeffDjMmN3U2,Reality TV: Adventure & Action,2016,7.0,25.0
['27kwwOnjG09lmLHv3zle84'],6lVp8TW3I1OAoHbCKDMu4X,Reality TV: Tension & Suspense,2015,4.0,21.0
"['0UZiYXaMAWiBJmz7vmw4Ze', '27kwwOnjG09lmLHv3zle84']",27bc4jU1mAuHzHQIV0JJzC,A Marvelous Day,2014,12.0,15.0
"['27kwwOnjG09lmLHv3zle84', '5ugyE8F89K8CGO2RotNVyW']",6tpXtB3cPKEWaJDAl3cOpz,"Grace, Beauty and Wonders",2014,4.0,10.0
"['3xODAav1Ryy8BspJHjbHcL', '27kwwOnjG09lmLHv3zle84']",4MMvGdgcQ4mNOtVRyp9WnB,Luxe,2010,12.0,31.0
['27vNK840zYq6IfDijHPsv1'],4uBIS6rAEZQX8NCDgoLKq2,Debut y Segunda Tanda (Deluxe),2022,10.0,28.0
['27vNK840zYq6IfDijHPsv1'],1m8xBkNoOgnAPnHL5VLdem,"Debut y Segunda Tanda, Vol.1",2022,9.0,8.0
['27vNK840zYq6IfDijHPsv1'],3B3dUnRjitOuDvc7RT43FW,De Navidad Con Gilberto (En Vivo),2020,12.0,11.0
['27vNK840zYq6IfDijHPsv1'],4D8X6lVfq886xogUIq8H12,Colegas,2020,9.0,4.0
['27vNK840zYq6IfDijHPsv1'],1oftR2h20tzZjMEiesBPJp,40... y Contando (En Vivo Desde Puerto Rico),2019,5.0,31.0
"['27vNK840zYq6IfDijHPsv1', '6mACV9iWVRMRFfXUZUdnvO']",5TpE5OGTjuydPZo7vUPpCC,En Buena Compañía,2018,9.0,21.0
['27vNK840zYq6IfDijHPsv1'],5J1eWhVg87VdgaEnN1PlVt,Necesito un Bolero [(Edición de Lujo)[En Vivo]],2015,11.0,6.0
['27vNK840zYq6IfDijHPsv1'],6xSWmYgfgrzABI0WzyKsXW,Necesito un Bolero (US Latin Product),2015,1.0,20.0
['27vNK840zYq6IfDijHPsv1'],3Ab8HPH5pTgPNjdFOHeTze,Necesito un Bolero,2014,11.0,11.0
['27vNK840zYq6IfDijHPsv1'],73Vmuoma0LoegePjhzMsQ1,Gilberto Santa Rosa,2012,11.0,12.0
['27vNK840zYq6IfDijHPsv1'],5ZxUdSnXqxuN6eEozgWoD5,Canciones De Amor,2012,1.0,23.0
['27vNK840zYq6IfDijHPsv1'],0fW8WuVC9oRoYb3AmxGyIT,Irrepetible,2010,6.0,29.0
['27vNK840zYq6IfDijHPsv1'],4lc37RNbpnoKrhBY0EKOjB,Lo Mejor De Gilberto En La Navidad,2009,11.0,2.0
['27vNK840zYq6IfDijHPsv1'],0GxUdSpTj1PeJlqq0knC5I,Contraste En Salsa,2008,7.0,21.0
['27vNK840zYq6IfDijHPsv1'],6vX1tbiWHuHkths8Gtq1xc,Una Navidad Con Gilberto,2008,7.0,14.0
['27vNK840zYq6IfDijHPsv1'],00LOUiA5823qxkOcHiio0W,Contraste,2007,11.0,20.0
"['27vNK840zYq6IfDijHPsv1', '6nnspeopmJAG07xOxHmqTu']",0sk49M3Nq60OwiPMedmHQP,Asi Es Nuestra Navidad,2005,12.0,19.0
"['27vNK840zYq6IfDijHPsv1', '4N5fp4zhTsVITZTVfsXpc2']",4MpP6sfknKNUhYo0lvnaUU,Dos Soneros... Una Historia,2005,11.0,22.0
['27vNK840zYq6IfDijHPsv1'],63JrVv3KZCAr6pEkfV3Llw,Auténtico,2004,10.0,25.0
['27vNK840zYq6IfDijHPsv1'],7cOFsHGVbn6SwAQwHC49ov,Auténtico,2004,8.0,23.0
['27vNK840zYq6IfDijHPsv1'],3nJmMv3vx8sLOUNiybShch,Solo Bolero,2003,,
['27vNK840zYq6IfDijHPsv1'],6PWySeDAcKZihnTJBlf8hX,Viceversa,2002,,
['27vNK840zYq6IfDijHPsv1'],75kOLlIjW99qG0rtOqD3rC,Intenso,2001,7.0,24.0
['27vNK840zYq6IfDijHPsv1'],5LBQtzGT1qt14F0sJKCDMn,Romantico,2001,,
['27vNK840zYq6IfDijHPsv1'],7kPncbxYjSpbvtwSu10vti,Expresion,2000,10.0,16.0
['27vNK840zYq6IfDijHPsv1'],1Ulu7emhMLGsD63AfHN0jo,Oro Salsero,2000,,
['27vNK840zYq6IfDijHPsv1'],4E3uQMm1IyNndidSzcCjg3,Expresion,1999,12.0,21.0
['27vNK840zYq6IfDijHPsv1'],3GZPezlhTo45AYC6bkxgnU,Salsa Sinfonica,1998,11.0,24.0
['27vNK840zYq6IfDijHPsv1'],2MBZNh1MJX8HLiv2GK39NE,Salsa Sinfonica,1998,11.0,9.0
['27vNK840zYq6IfDijHPsv1'],6uE9OfopfQvc5TscPKANL1,Salsa Sinfonica,1998,,
['27vNK840zYq6IfDijHPsv1'],26Gm7kV7NqgA9nGqO0swfq,De Corazón,1997,,
['27vNK840zYq6IfDijHPsv1'],3R8g1tVI1aDCnFF4oUq0YG,De Corazon,1997,,
['27vNK840zYq6IfDijHPsv1'],3lgoVvsY0nAzkojKOZqsXC,"El Caballero de la Salsa, Exitos Vol. 2",1997,,
['27vNK840zYq6IfDijHPsv1'],7elaoChLnXM4QN2O6pT47w,Esencia,1996,11.0,19.0
['27vNK840zYq6IfDijHPsv1'],3ASsv46z8jp15gwRTOjy22,En Vivo Desde El Carnegie Hall,1995,,
['27vNK840zYq6IfDijHPsv1'],12MnJtSuhgpSSIke1l4dws,De Cara Al Viento,1994,11.0,15.0
['27vNK840zYq6IfDijHPsv1'],2In4rdro57rvQ3hH8VRx7k,De Cara Al Viento,1994,,
['27vNK840zYq6IfDijHPsv1'],3I7uDwkdOT140aJ4fuqCMf,Nace Aquí,1993,,
['27vNK840zYq6IfDijHPsv1'],0d8wAwygZBtYPE8R21JSy9,A Dos Tiempos de un Tiempo,1992,10.0,20.0
['27vNK840zYq6IfDijHPsv1'],45y9J0X3P14WDol7NxS5yJ,A Dos Tiempos De Un Tiempo,1992,,
['27vNK840zYq6IfDijHPsv1'],0pJibLMJonjwGRZDhDHawD,Perspectiva,1991,10.0,29.0
['27vNK840zYq6IfDijHPsv1'],33xIDEp2uzRz5JtWXE7Dsy,Perspectiva,1991,,
['27vNK840zYq6IfDijHPsv1'],1WjpNtVzvTWaC8TEhypLZ6,Punto de Vista,1990,8.0,14.0
['27vNK840zYq6IfDijHPsv1'],1IoQHzkBq5cea0ragcDyWP,Dos Clásicos,1990,,
['27vNK840zYq6IfDijHPsv1'],0K7c7TSGftQyo250HW0WXs,"El Caballero de la Salsa, Exitos Vol. 1",1990,,
['27vNK840zYq6IfDijHPsv1'],1gxedM7LGzc3BItyXonEdb,Punto De Vista,1990,,
['27vNK840zYq6IfDijHPsv1'],1bzYoojOAE2TXEkKw8gv6z,Salsa en... Movimiento,1989,,
['27vNK840zYq6IfDijHPsv1'],021o25wvfikSTFTS43DRrc,De Amor y Salsa,1988,,
['27vNK840zYq6IfDijHPsv1'],25uQWofpM1eF53D0y2Waru,Keeping Cool!,1987,,
['27vNK840zYq6IfDijHPsv1'],0viAbizcy2QtBHd5ubN1G7,Good Vibrations,1986,,
['286N26F5niRQqjn3PeqFjH'],58NxAYwFJkyTQuySIN09LS,A la lisière,2019,3.0,8.0
['286N26F5niRQqjn3PeqFjH'],2px3ID2at306p9j0TmbHZd,À la lisière,2019,3.0,8.0
['286N26F5niRQqjn3PeqFjH'],1F9MKMka6q1FpHzhySejWo,De quoi faire battre ton coeur (Live),2017,10.0,27.0
['286N26F5niRQqjn3PeqFjH'],5UXgWV8XWkWYt3nTryY4r3,De quoi faire battre ton cœur (Live 2017),2017,10.0,27.0
['286N26F5niRQqjn3PeqFjH'],3pUs78zvdjWwNQQe2wowf4,De quoi faire battre mon coeur,2016,2.0,12.0
['286N26F5niRQqjn3PeqFjH'],3yO7ihj4IsNBcd3HLGl6yk,De quoi faire battre mon cœur,2016,2.0,12.0
['286N26F5niRQqjn3PeqFjH'],5Boh9kP5xuECkkP6KwWjYs,La tournure des choses,2013,1.0,21.0
['286N26F5niRQqjn3PeqFjH'],0mFAe01U2yROYHOBy3P37a,La tournure des choses,2013,1.0,21.0
['286N26F5niRQqjn3PeqFjH'],2S8CW5lKrVFJBANP1NmorT,Moi En Mieux,2009,1.0,1.0
['286N26F5niRQqjn3PeqFjH'],57sfNzTANuzgRlkQg952KT,Moi En Mieux,2009,1.0,1.0
['286N26F5niRQqjn3PeqFjH'],0v19eRkQFz2NRiMSfXioQg,Moi En Mieux (Fnac),2009,1.0,1.0
['286N26F5niRQqjn3PeqFjH'],1Uv7TTHCQPnjh60nSISijz,Joker,2005,1.0,1.0
['286N26F5niRQqjn3PeqFjH'],11SuUBcg1NMxlrwuE9vUTt,La Fille Tu Sais,2001,1.0,1.0
['286N26F5niRQqjn3PeqFjH'],2GMAFJSIO3we6oRFqenQM4,Ca s'peut pas,1997,1.0,10.0
['287jMoxHzjERgHI6ja8TKa'],5ZXGZfvx2JzjeHYXyweXwV,We Never Stop,2022,10.0,28.0
['287jMoxHzjERgHI6ja8TKa'],5TTFzWPdQKVH1uatne2gEi,We Never Stop,2022,10.0,26.0
['287jMoxHzjERgHI6ja8TKa'],5F5H222HusfCq8kAQmRroW,Together,2017,5.0,24.0
['287jMoxHzjERgHI6ja8TKa'],3OYfshPEbKYN8aYZfIk9XW,Together,2017,4.0,14.0
['287jMoxHzjERgHI6ja8TKa'],6mCY3fAMnCeAdCMfCNkq4y,Crazy,2012,1.0,31.0
['287jMoxHzjERgHI6ja8TKa'],7nu8UW5L5rFLrEbJ3vItG2,CRAZY,2011,12.0,14.0
['287jMoxHzjERgHI6ja8TKa'],3WHM2YzkvtV3wBvIYcatTS,Crazy,2011,9.0,30.0
['287jMoxHzjERgHI6ja8TKa'],6OxTiSQvyphQTcn085GUUX,Funked Up & Chilled Out,2009,5.0,12.0
['287jMoxHzjERgHI6ja8TKa'],7KJJl8pNcDjhoDkjW3CDKp,Candy Store,2007,9.0,18.0
