artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['008Il9isSQQmjH2dWCrN3n'],37zySHZKT6frT8TrirWhZF,Close Encounters of the Third Kind,2012,10.0,16.0
['008Il9isSQQmjH2dWCrN3n'],3LFiBaFi0trwlVsQuEWB56,From Russia with Love,2012,10.0,16.0
['008Il9isSQQmjH2dWCrN3n'],1z9VrX3NHHiu9qYCOWu6pK,This Masquerade,2012,10.0,16.0
['008Il9isSQQmjH2dWCrN3n'],74lcJlHvrSRu8k7RCWrUNr,Tide,2011,12.0,27.0
['008Il9isSQQmjH2dWCrN3n'],0fHW8hfGNCtKHkEHlpAK1L,Sven Libaek Orchestra Volume #5,2009,8.0,4.0
['008Il9isSQQmjH2dWCrN3n'],0u1myspd2lurs9iV3DDEqQ,Sven Libaek Orchestra Volume #3,2009,6.0,9.0
['008Il9isSQQmjH2dWCrN3n'],3J6lbVL4w4vw8mfWxwpkjw,Sven Libaek Orchestra Volume #4,2009,6.0,9.0
['008Il9isSQQmjH2dWCrN3n'],3Pa7nsuNZyfckqjTHNaoqn,A Natural Woman,2008,12.0,1.0
"['00AUnQaXE6XTTZvr7kgNHb', '6nPB2RQ18oNLlPd0WAG1RV', '5NUxWLwXULdbRSgFf2yCJC', '04idIKRh1DcKB3IeBcgG2O']",1gy63RQQYKbxdWiyizisG6,Uppbrott,2021,5.0,7.0
"['6kvt9LAn42tu29pkwBgSws', '3zyStC3QoWVfuL07xXHWq4', '5S43XHtXlgvC9uKKWeBPYI', '00AUnQaXE6XTTZvr7kgNHb']",5N9J9rmCA7rUcEWyl67jXH,Sven-David Sandström: Motets Inspired by Bach Vol. 2,2018,1.0,26.0
"['00AUnQaXE6XTTZvr7kgNHb', '3b1D4To7gSpcCPRB7PIalb', '7qT33ISGKIyBu1aZ1nYQTQ']",2WdQVLhQqaPferpahBpeYq,The Passion of St John,2017,4.0,28.0
"['6kvt9LAn42tu29pkwBgSws', '3zyStC3QoWVfuL07xXHWq4', '5S43XHtXlgvC9uKKWeBPYI', '00AUnQaXE6XTTZvr7kgNHb']",4ENfTLK57ToGkCAzkmGYiN,Sven-David Sandström: Motets Inspired by Bach Vol. 1,2015,2.0,9.0
"['00AUnQaXE6XTTZvr7kgNHb', '3b1D4To7gSpcCPRB7PIalb']",6XpOwumumZM97UUo6YKi7O,Nordic Mass,2014,10.0,2.0
"['00AUnQaXE6XTTZvr7kgNHb', '0muluUHym4N0wB62sD0MPo']",5JN9cMMlbpmjOgoAbGseSr,SDS,2014,7.0,9.0
"['00AUnQaXE6XTTZvr7kgNHb', '4lTGFS2bOWcU2U8DmJueKP', '6IvMT8uaFQr0jBwl5pjHWH']",3xXJMwIbL02Kcadj6UQGOz,Musik för kyrkoåret,2013,2.0,5.0
"['00AUnQaXE6XTTZvr7kgNHb', '6SKjQxMxMyzH1kqpgv4XBj']",6OYmhvfsPbKc1NxxNiun1o,Footprints - S-D. Sandström,2012,3.0,1.0
"['00AUnQaXE6XTTZvr7kgNHb', '1jXIt678bAwAiFlKEve27W', '2BxtRNfFqHkwkr33FikiIq', '4Oa2j23TvtU4yvpd8d85UC']",5Ah5S2OB0UKiidOtgy5HK3,Sandström: A Cradle Song & The Tyger,2011,5.0,1.0
"['00AUnQaXE6XTTZvr7kgNHb', '4YS0DkuESJDNy1IvYwOFSk', '4QaXtbVs52VJ32Rz63vojQ', '2qAaljaymGGOZojhFMd8tU', '4mTi5G8KQdyDjuPPCiocFJ', '2LIvwp5LmaVIupPfINkJD8', '5TwA5VjT0UxdrtnEWT9saC']",2BVIAhXUWChZWodmaRuPAV,Sandström: Messiah,2010,3.0,1.0
"['00AUnQaXE6XTTZvr7kgNHb', '1A9umzen6B9Shk2spCzR9y', '4LUikUVERZSzQNjFaaMiDA']",5ipfVwT5ZH9A2g0WByxf8B,Sandström: Nordic Sounds,2010,1.0,1.0
"['00AUnQaXE6XTTZvr7kgNHb', '1A9umzen6B9Shk2spCzR9y', '4LUikUVERZSzQNjFaaMiDA']",4wG5HEnKX8IHGDdi4TVVxh,Nordic Sounds: Music of Sven-David Sandström,2010,1.0,1.0
