artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['004F88I7EWH54o9jNfUbEn'],7MSSQNNrngHzIGdSlgXeZS,Feel Good Beats,2022,5.0,27.0
['004F88I7EWH54o9jNfUbEn'],38PhYSpUnULSUIu1Moo26G,Dip,2005,4.0,5.0
['007xrb1qNscSWapmjEmoBR'],7fA1MY0xW3HCDhhnHS9qCK,I'll Roll in My Sweet Baby's Arms,2021,10.0,14.0
['007xrb1qNscSWapmjEmoBR'],0gWNbaoGZqBzqH1ab2oMo9,It Won't Hurt No More,2021,9.0,17.0
['007xrb1qNscSWapmjEmoBR'],2enYyy4Xcvlo5wFxMMTrCk,A Lazy Farmer Boy,2015,4.0,2.0
['00AolXifCyBruO9xdTyWgF'],1LTvy3TwoadU11kULJKM9n,MIKE VS THE WORLD,2023,2.0,20.0
['00JAfwtx5gNiiqyor88Dr5'],1WH2ttzuKMSlxtfA7PQw8S,Vulture Prince (Deluxe Edition),2022,6.0,24.0
"['2peNiVtIS127PmCOabTB4Q', '00JAfwtx5gNiiqyor88Dr5']",1fHotEKyTMFFpMCxssBoiy,Backbone (Original Game Soundtrack),2021,6.0,8.0
['00JAfwtx5gNiiqyor88Dr5'],6HrBTi1F76h7mJuQDHEijH,Vulture Prince,2021,4.0,23.0
['00JAfwtx5gNiiqyor88Dr5'],6X8Gj8VvfnpzyJFkK9ZWGl,Siren Islands,2018,8.0,13.0
['00RJAkLnjGx4kVWVJbOJx1'],3ssUlRpwJFo66gMNVEeCOm,My Music My Life,2010,1.0,1.0
['00RJAkLnjGx4kVWVJbOJx1'],3e6uswV72hdGENW4AC0awB,Follow Your Heart,2005,12.0,20.0
['00RJAkLnjGx4kVWVJbOJx1'],4DHkuNCj0IvGesIRqjPA2z,Carol,2000,1.0,1.0
['00RJAkLnjGx4kVWVJbOJx1'],5WUFnCd50dQcXaQAn5ZrXf,"Carol, Vol. 2",2000,1.0,1.0
['00RYM1fJO6kr6Z2jOuD9BW'],7jCX1fJX7F4az8xUQfj1dL,Pra Onde as Pessoas Vão,2011,11.0,11.0
['00RYM1fJO6kr6Z2jOuD9BW'],5qZUjfQNqvYmsVGWoaa20Q,Todo Dia É Assim,2009,8.0,8.0
['00sAr10UTV1JZtHqxsLVn4'],7oHz02asRMJLUJmITpc9C2,Destroyer,2019,5.0,24.0
['00sAr10UTV1JZtHqxsLVn4'],6t4QviGDUnpQKzLbdVQXFD,Destroyer,2019,5.0,24.0
['00sAr10UTV1JZtHqxsLVn4'],5xurY94hAr9tMyeMOJM3j7,IV,2016,4.0,1.0
['00sAr10UTV1JZtHqxsLVn4'],6htkNwZqRyGKXjWpCKuoSl,IV,2016,4.0,1.0
['00sAr10UTV1JZtHqxsLVn4'],1VyJaMr23xKzDAmePPxsvs,Year Zero: The Original Soundtrack,2012,4.0,3.0
['00sAr10UTV1JZtHqxsLVn4'],19zI1pAARSE3rV72vWX9Ak,Wilderness Heart,2010,9.0,14.0
['00sAr10UTV1JZtHqxsLVn4'],6bFa0guTmFUo2DKGiVts6R,In The Future,2008,1.0,22.0
['00sAr10UTV1JZtHqxsLVn4'],31YEcEQqodxCivVvVcO3pC,Black Mountain (10th Anniversary Deluxe Edition),2005,1.0,18.0
"['01c7DohUs02BwUDAyxzTUU', '2CMUUIURLHR1liis31Tv6b', '6mweEC2PoONyRImbl5piU6']",2d1l8P381xbzkGBI7dG6Mv,Gentle Rain and Angry Thunderstorms,2022,4.0,24.0
['01fvPLDc345ENWorJWLqV4'],5oZOQo85t4VdKCNx3Pvc0K,"Hard Times, Soft Music",2022,10.0,14.0
['01iqgAON3n9EPLHwlTR0hE'],5p1iWgbjZ8H4VX0L8gYLkc,Meditation Zen,2022,5.0,28.0
['01iqgAON3n9EPLHwlTR0hE'],39ocYReJor472Oxbcb0a5x,Relaxing Morning,2022,5.0,27.0
"['01oeaKF2UI2pmIHljhewRN', '2tM4YvbGRPeHpxdD6PqLwe']",65q2mS3hGO3aopSg7sNgd5,"36 Chambers Of Pressure, Vol. 2",2023,2.0,24.0
