artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['12zbUHbPHL5DGuJtiUfsip'],3IQRHa9iVLsGlSuVHiHZ3A,Little Oblivions,2021,2.0,26.0
['12zbUHbPHL5DGuJtiUfsip'],3AV0YFhIzY0LDeaJPU5x3O,Turn Out the Lights,2017,10.0,27.0
['12zbUHbPHL5DGuJtiUfsip'],1IFpUMgrfPeq6ERuamFG3I,Sprained Ankle,2016,11.0,17.0
['12zbUHbPHL5DGuJtiUfsip'],3DvUGOMZgAr6PaToI7Vwwl,Sprained Ankle,2015,10.0,23.0
['13Dk5M0DnpeJQnyoXcuAYE'],1YwUHEcXSEZQdiU7fImluB,King of Glory,2018,9.0,10.0
['13Dk5M0DnpeJQnyoXcuAYE'],4KMup5HkFFkdHyvtSbZnPz,Show Me Your Glory,2014,1.0,30.0
['13MlmKnz81PZqZgMfCdVRR'],2RQnZr8wJR5qPwOWwInlID,Le più belle canzoni d'amore degli anni '40 e '50,2012,5.0,1.0
['13MlmKnz81PZqZgMfCdVRR'],0F6JfapVqHGcHRuJ53J8Ty,Tutti in Pista,2011,11.0,17.0
['13MlmKnz81PZqZgMfCdVRR'],5rnV45TMkSB7sByRNfW1G0,Atmosfera D'italia,2011,11.0,16.0
['13MlmKnz81PZqZgMfCdVRR'],5NXGnLCOd4hcsY7vGgnvtv,Sweet Napoli,1996,,
['13MlmKnz81PZqZgMfCdVRR'],67Z1LfR714ZZUcyFDqxV4j,Alberto Baldan Bembo,1989,,
['13MlmKnz81PZqZgMfCdVRR'],6fT3zApYvyefhGbZXXUu9N,Lingua d'argento,1976,3.0,18.0
['13MlmKnz81PZqZgMfCdVRR'],3wMMEeUpFG4YqilF56KCHw,L'amica di mia madre (Colonna sonora originale del film),1975,9.0,5.0
['13UXMns4uwUrEpIzY79Qgw'],27DemjtuFRsE68xR1AnIe5,The Spectrum,2017,7.0,14.0
['13UXMns4uwUrEpIzY79Qgw'],77iaciBoduT9eNQ94w4S7V,The Spectrum,2017,7.0,14.0
['13UXMns4uwUrEpIzY79Qgw'],3cwP8FL7HkJJvDBP78heeW,Days & Nights,2014,1.0,1.0
['13UXMns4uwUrEpIzY79Qgw'],736affX3bMQ7FuJoua5PNv,Days & Nights,2014,1.0,1.0
['13UXMns4uwUrEpIzY79Qgw'],4ybMRnLSZqOjAa72UqIWWi,Those Who Wait,2012,1.0,1.0
['13VQNfvwId6eLurokNp402'],5i1lAc9TkRdsXrJtfdzbLQ,Volver a Empezar,2014,11.0,11.0
['13W7XLRXdWeLmIu9vacE1w'],5Bhd8aGf6qv9be800K6sQz,This Is Going To Hurt (Original Soundtrack),2022,3.0,21.0
['13W7XLRXdWeLmIu9vacE1w'],5BlZRjBs0oMeAFHAmPJPAw,REMIX ED,2021,11.0,26.0
['13W7XLRXdWeLmIu9vacE1w'],2bySOj6Z2WnlEXm5o5Pc2Z,CHANSONS d’ENNUI TIP-TOP,2021,10.0,22.0
['13W7XLRXdWeLmIu9vacE1w'],3BkE2k4o9xSPjO8PnESSzo,Further Complications (2020 Remaster),2020,11.0,27.0
['13W7XLRXdWeLmIu9vacE1w'],05aYHvlgEsVKhTrF5Nks4W,Beyond the Pale,2020,7.0,17.0
"['0qudezVgvl4Chd9BgNFB83', '13W7XLRXdWeLmIu9vacE1w']",5OoDylPvT78As7o5uwIDRX,Room 29,2017,3.0,17.0
['13W7XLRXdWeLmIu9vacE1w'],3GvIWVEInS9gMsX3TC43Je,Further Complications,2009,5.0,19.0
['13W7XLRXdWeLmIu9vacE1w'],7ohx0BJ3A7PudNhYtZPKp2,Further Complications,2009,5.0,18.0
['13W7XLRXdWeLmIu9vacE1w'],6VNKKb04mPaPPLE8fmMRAP,Jarvis (2020 Complete Edition),2006,,
"['13dkPjqmbcchm8cXjEJQeP', '5JphnEjD8K5jNTcymzarm2', '5We7NLZ3voncQ3Fm65gFpn']",58WbBfdDSKvvhqUAeqjOJG,String Quartets,2023,2.0,28.0
['13dkPjqmbcchm8cXjEJQeP'],6y4Hiww7eYW5HaZbiJbFWK,50 ÉXITOS DE GLENN GOULD,2022,11.0,25.0
"['13dkPjqmbcchm8cXjEJQeP', '570U2Pf62mqwYiZ4YyCKOC']",3QSz6OyxunrOwZ2gQmouC8,Recording Glenn Gould's Goldberg Variations - Track-by-Track by Producer Richard Einhorn,2022,9.0,30.0
['13dkPjqmbcchm8cXjEJQeP'],2NZX1rz4cJhxuEJeGmiwqu,GLENN GOULD - THE RYUICHI SAKAMOTO SELECTION [Complete Version],2022,9.0,21.0
"['5aIqB5nVVvmFsvSdExz408', '13dkPjqmbcchm8cXjEJQeP']",4csQJiqJbiRBBWRCKGwwVY,Gould & Bach: Perfect Match,2022,9.0,2.0
['13dkPjqmbcchm8cXjEJQeP'],659Zidfi4wFlIwI4kR2l10,Uninvited Guests - Deluxe,2021,10.0,22.0
"['13dkPjqmbcchm8cXjEJQeP', '2LmyJyCF5V1eQyvHgJNbTn', '3gacryguGmpmCvgPGt2CBI']",0C0LDFYQYUFnIK4RT1QoEm,Bernstein conducts Mozart and Cage,2020,11.0,20.0
['13dkPjqmbcchm8cXjEJQeP'],5lMzEwKT9SjuJWkKI87kxE,Uninvited Guests,2020,10.0,23.0
"['5aIqB5nVVvmFsvSdExz408', '13dkPjqmbcchm8cXjEJQeP']",5SEvyDuvkQpqVde8XaBV2O,"Glenn Gould Plays Bach - Goldberg Variations, Partitas V & VI",2020,5.0,8.0
"['13dkPjqmbcchm8cXjEJQeP', '3Avg8oVxDlgxUUjeOo1UY2', '709lqIKybdYliZe12RSEUg', '1GpEdoQVcUNrFqsy5B1oFI']",0Dw7Bok7vFIuLgwbcWbaRF,Glenn Gould Plays Piano Concertos,2018,1.0,5.0
['13dkPjqmbcchm8cXjEJQeP'],53iTuSND2acCpoLiKopj6n,50 Masterworks - Glenn Gould,2016,9.0,9.0
"['5aIqB5nVVvmFsvSdExz408', '13dkPjqmbcchm8cXjEJQeP']",6X2jVc4hYHU7OPx5UWZMhx,Glenn Gould spielt Bach,2016,7.0,29.0
"['5wTAi7QkpP6kp8a54lmTOq', '13dkPjqmbcchm8cXjEJQeP']",1TvJoh5UWEwpwqAHRsPRXv,Brahms: Intermezzi & Klavierstücke,2016,,
"['5aIqB5nVVvmFsvSdExz408', '13dkPjqmbcchm8cXjEJQeP']",5jHUngqLrFG06sG07m7wAa,"J.S. Bach: Italian Concerto & French Suites, etc.",2016,,
['13dkPjqmbcchm8cXjEJQeP'],23N3SPvuS558Vo3eb843ht,Glenn Gould - The Acoustic Orchestrations - Works by Scriabin and Sibelius,2012,9.0,21.0
