artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['7sbNNaQTulMUEWxL5aDTiT'],3wocXD9hHDFFgigOZOnLMV,Steel Magnolia,2014,1.0,1.0
['7sbNNaQTulMUEWxL5aDTiT'],4ILOvlcBs1vv3hP23VY6VO,Steel Magnolia,2011,1.0,1.0
['7sbNNaQTulMUEWxL5aDTiT'],7jAyjjzP9ZfNo9jITXjJtD,Steel Magnolia,2011,,
['7swQ7gmKDlIOsnl0bdnaXn'],5RLKDnfPCHgkjzwN1tNQCm,That Time I Sat in a Pile of Chocolate,2016,4.0,4.0
['7swQ7gmKDlIOsnl0bdnaXn'],0MN9y3trlcSWH6ZXoVhs6P,I Could Do Whatever I Wanted If I Wanted,2011,2.0,17.0
['7tr9pbgNEKtG0GQTKe08Tz'],3m0PIFv2mh0ytlTroWklbd,A Museum Of Contradiction,2020,5.0,22.0
['7tr9pbgNEKtG0GQTKe08Tz'],6TEN1TZhSRJQl1AfIDjR0y,Fool,2018,11.0,15.0
['7tr9pbgNEKtG0GQTKe08Tz'],25mNgv9kcDpET9UWcCxu16,Pronounced McGee,2018,5.0,18.0
['7twKK7krUtniPlYv9i92vp'],1TKNnr6wdF5OVEnVMAlDwf,"Yachty Rock Feelings, Vol. 2",2022,10.0,8.0
['7twKK7krUtniPlYv9i92vp'],6nfTINfvFH6VZb81AYTxFP,"Yachty Rock Feelings, Vol. 1",2022,9.0,24.0
['7uHCg2di26DHu4cmahYEf5'],5ANlfzPIsIPxhqoJgLVHhz,THE REVELATION,2022,10.0,22.0
['7uHCg2di26DHu4cmahYEf5'],5o8RD9JLbXmGeKhSo7lNaZ,ENERGY (IN MOTION),2021,3.0,3.0
['7uHCg2di26DHu4cmahYEf5'],1ADkmRiwNG4cu1vVVFLshn,Breakthrough,2020,11.0,28.0
"['6KYqWLTz9cngfpIpniw1SR', '7uS4FRGdbUfTuDFPdC1eNv']",7lrCHmjeNkT3kKPy6Hx38w,Broken By Design,2020,5.0,8.0
['7utfFuuNSKLWEy5ew3RcfP'],4KHWxh9jiiQT5vasN4D7iQ,I Cried (Remastered),2020,9.0,12.0
"['7v4imS0moSyGdXyLgVTIV7', '7utfFuuNSKLWEy5ew3RcfP']",6L559yGVxmFOW8ViMMbWI1,"Cole, Christmas & Kids",1990,1.0,1.0
['7uwlJ8Ukz2zoC1XChgURoC'],5QrwYk88HCCDtMdN5xZGVn,Sun God,2022,7.0,22.0
['7uwlJ8Ukz2zoC1XChgURoC'],6ivcYAA9fdiH4fyhnFurqo,Flo,2014,4.0,1.0
['7uwlJ8Ukz2zoC1XChgURoC'],4WGS0bZ5F9ThMxlbjcaZYH,The Mutiny,2012,4.0,20.0
['7uwlJ8Ukz2zoC1XChgURoC'],2gny6NYTRcTbnQ2SPoKu3N,In The City Of Dreadful Night,2008,10.0,17.0
['7vJ9NTsAfgcLpUihlKB8FE'],5fypR6R0eZEQZkD0Xns0kN,Aniba,2022,3.0,11.0
['7vWm8MRVSIVzy2sUh1oU5r'],2TUdvdvz1yEVNfRqYD2vKc,Never Forget,2022,2.0,3.0
['7vWm8MRVSIVzy2sUh1oU5r'],1qENK4ydYYqVT895MOX1vJ,New Beginnings,2021,9.0,17.0
['7vWm8MRVSIVzy2sUh1oU5r'],78YdJmWSA6zs2sJIrCapWc,Draw the Chalk,2021,7.0,2.0
['7vbp1MtEikhcZYIr751zDk'],2s9iAde0WkwD1y9yRoJEcZ,Before the Smoke,2020,8.0,14.0
['7vbp1MtEikhcZYIr751zDk'],1Tmjp6UzYvGNaQCXR1uOxR,"Keep Styling, Keep Singing Vol. 2",2020,6.0,19.0
['7vbp1MtEikhcZYIr751zDk'],1uxwtl3M3vwzaZDL5Pg9n6,"Keep Styling, Keep Singing",2020,5.0,29.0
['7vbp1MtEikhcZYIr751zDk'],0bCo41HpWaS2kexvYSFTHZ,Time to Win,2018,9.0,21.0
['7vdcsB9p8PtIooVpemHb63'],3yqVFEi3gOBsX1vBrSPFqm,5 MINUTES AWAY,2023,2.0,3.0
['7vdcsB9p8PtIooVpemHb63'],2brieyQtMQdXLEczDbErAa,Mind Of A Misfit,2020,8.0,8.0
['7vsHbcgOIbaeMqv3GvvHdO'],7EKiMw886LFiLGjIo5qm4K,Mr. Brown Eyed Soul Vol. 2,2022,7.0,15.0
['7vsHbcgOIbaeMqv3GvvHdO'],6uXmeiEUWSxuj3f0eOngcC,Little Brown Eyed Soul,2018,4.0,13.0
['7vsHbcgOIbaeMqv3GvvHdO'],6Au3nzgAbWwYOSarBaG6lg,"Smile Now, Cry Later",2018,1.0,19.0
['7vsHbcgOIbaeMqv3GvvHdO'],1kx5q7W72WVtVLUkosX8f9,The Missing Link,2017,11.0,24.0
['7vsHbcgOIbaeMqv3GvvHdO'],6zFNREKAbyVy3t6mA7ziVk,Cien Anos,2017,10.0,4.0
['7vsHbcgOIbaeMqv3GvvHdO'],5ZVs9GDKWj3JTyBfh83cFu,Classic Gold,2017,10.0,4.0
['7vsHbcgOIbaeMqv3GvvHdO'],35922ds56CsxFFO1qeCB64,Mr. Brown Eyed Soul,2017,9.0,22.0
['7vsHbcgOIbaeMqv3GvvHdO'],3JgmL6Huxd5bcJbYp8nNcu,"Tus Requerdos, Vol. 2",2017,7.0,18.0
['7vsHbcgOIbaeMqv3GvvHdO'],00FZB7nTggofaocmz7gIvS,Sky High,2017,2.0,7.0
['7vsHbcgOIbaeMqv3GvvHdO'],1pg7nUZliQ3FEsFUc5x7Fd,This Is My Band,2017,2.0,7.0
['7vsHbcgOIbaeMqv3GvvHdO'],4QeXDNc3hDQQEV189HfzY6,"Young, Gifted & Brown",2017,2.0,7.0
['7vsHbcgOIbaeMqv3GvvHdO'],4xSxQDtxE4e3T6EDp6Sxcm,Carinito,2016,9.0,4.0
['7vsHbcgOIbaeMqv3GvvHdO'],0u79uMWds7kxQQWkiRSvkO,El Orgullo de Texas,2016,9.0,4.0
['7vsHbcgOIbaeMqv3GvvHdO'],4w1Hilmf6sczWUU81I4xTM,"Grande,Grande,Grande",2016,9.0,4.0
