artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['7nWeaJJ7cqkIB27PvNhKhr'],3B4mZvtG64mTzvgXoTtq8G,Revenge,2023,1.0,7.0
['7nWeaJJ7cqkIB27PvNhKhr'],4QHWxVdw0kwy4aWPLo55RH,Johhny Cage,2022,1.0,7.0
"['7nWeaJJ7cqkIB27PvNhKhr', '7dVFRDdPEqfbjfMOdIsii8']",0u7KlxtUtlb5BMg3BDr28M,Influenced,2019,2.0,7.0
['7nfddgqZWzCgRcgZvjJqgo'],5c7o3SK5PxBCL6FkRfDa78,PERFECT 7,2022,3.0,24.0
['7nfddgqZWzCgRcgZvjJqgo'],0UOGC8mIciGaFMpIuZUqA9,Thru the Winter,2020,3.0,21.0
['7nfddgqZWzCgRcgZvjJqgo'],2iYA0O1GhNE9eK1VwaDPha,DEADMAN,2018,1.0,1.0
['7oEkUINVIj1Nr3Wnj8tzqr'],3n7esvSbuawAdZkDcxIsOE,Em Casa Com os Gil,2022,6.0,24.0
['7oEkUINVIj1Nr3Wnj8tzqr'],6AGMYqQDINoZmyaEHx3mlA,São João em Araras - ao Vivo,2021,5.0,28.0
"['7oEkUINVIj1Nr3Wnj8tzqr', '5JHYuwE2n7bleXMUsmtCW5']",2HOtF9wjRgFuKefeTJkG4O,Gil Baiana ao Vivo em Salvador (Ao Vivo),2020,4.0,30.0
['7oEkUINVIj1Nr3Wnj8tzqr'],239OOEPEdHXWpiJ4s8OrBZ,GIL (Trilha Sonora Original do Espetáculo do Grupo Corpo),2019,8.0,6.0
['7oEkUINVIj1Nr3Wnj8tzqr'],5AIynQBLebcFhSDbk4rSeC,OK OK OK (Deluxe),2019,7.0,15.0
['7oEkUINVIj1Nr3Wnj8tzqr'],2LlUT8gQbDX5DQRpEVt7F8,OK OK OK,2018,8.0,17.0
"['7oEkUINVIj1Nr3Wnj8tzqr', '7n1XMwvxPf10t4OX6h6Ufy', '1b8kpp4DUwt1hWaxTiWQhD']",0BzPAKchvZk8mwaWdk1sSG,Trinca de Ases (Ao Vivo),2018,3.0,9.0
"['7HGNYPmbDrMkylWqeFCOIQ', '7oEkUINVIj1Nr3Wnj8tzqr']",5wkh8zB5DgWzdbyrjWwN8r,"Dois Amigos, Um Século de Música: Multishow Live",2016,4.0,8.0
"['7HGNYPmbDrMkylWqeFCOIQ', '7oEkUINVIj1Nr3Wnj8tzqr']",4XoZyWcBU5Wm9oRRamjjR4,"Dos Amigos, Un Siglo de Música (Grabado En Directo)",2016,3.0,13.0
"['7HGNYPmbDrMkylWqeFCOIQ', '7oEkUINVIj1Nr3Wnj8tzqr']",3tZdRlIQVfT6Fs6IXhzsja,"Two Friends, One Century of Music (Live)",2016,1.0,22.0
"['7HGNYPmbDrMkylWqeFCOIQ', '7oEkUINVIj1Nr3Wnj8tzqr']",3dlm9kQVTbPH9LpuukE77i,"Dois Amigos, um Século de Música (Ao Vivo)",2016,1.0,22.0
"['7HGNYPmbDrMkylWqeFCOIQ', '7oEkUINVIj1Nr3Wnj8tzqr']",0I5NIYMVsflEVgFfdNXPiW,"Dois Amigos, um Século de Música (Ao Vivo)",2015,12.0,4.0
['7oEkUINVIj1Nr3Wnj8tzqr'],0Xk0gez1UrUcIhSwxNOoAo,The Essential Gilberto Gil,2014,7.0,22.0
['7oEkUINVIj1Nr3Wnj8tzqr'],2YvNsVhfQNrRMo91hJJEch,Gilbertos Samba ao Vivo,2014,1.0,31.0
['7oEkUINVIj1Nr3Wnj8tzqr'],4CzqCaWsFEzNWWugq0EfUV,Gilbertos Samba,2014,1.0,31.0
['7oEkUINVIj1Nr3Wnj8tzqr'],6XOZgBescpZ9Acv8AqINnk,Concerto de cordas e Máquinas de ritmo (Ao Vivo),2012,10.0,2.0
"['7HGNYPmbDrMkylWqeFCOIQ', '7oEkUINVIj1Nr3Wnj8tzqr', '7dzq55YG3wjViqexDwiycQ']",3hOAYii7ltL7zatrSVtBQc,"Especial Ivete, Gil E Caetano",2012,1.0,1.0
['7oEkUINVIj1Nr3Wnj8tzqr'],0RKOgZN5yf2tHxG7BB6ZBb,Fé na Festa (Ao Vivo),2010,7.0,1.0
['7oEkUINVIj1Nr3Wnj8tzqr'],7ABxypC73pyQDwr2ez7BFL,Fé na Festa,2010,6.0,1.0
['7oEkUINVIj1Nr3Wnj8tzqr'],6GMFT5jx3m8K4GsTNP70Cw,Bandadois (Ao Vivo),2009,5.0,11.0
['7oEkUINVIj1Nr3Wnj8tzqr'],01POTNbHnjVGEJtUX5cLgL,Banda larga cordel,2008,6.0,17.0
['7oEkUINVIj1Nr3Wnj8tzqr'],6JMpvYFnqxgR9uVyLZScOC,Duetos 2,2008,1.0,1.0
['7oEkUINVIj1Nr3Wnj8tzqr'],4lP3g60igscsY6Le63ZTeN,Duetos,2007,9.0,11.0
['7oEkUINVIj1Nr3Wnj8tzqr'],5nBfkvAmlpDKcvj5SRKXuU,Gil Luminoso,2006,10.0,1.0
['7oEkUINVIj1Nr3Wnj8tzqr'],7gl0SUDwWTOdUehXFypXna,Refavela,2006,1.0,20.0
['7oEkUINVIj1Nr3Wnj8tzqr'],7r9ozU2KfrgcKoqVjVZAIc,A Arte De Gilberto Gil,2005,,
