artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['5aOkrc3bx57nHYlZjao3m5'],0XyxLVNxJwHlU6PakJsFae,Centaurworld: S2 (Soundtrack from the Netflix Series),2021,12.0,7.0
['5aOkrc3bx57nHYlZjao3m5'],0TxFwlZJVv6jZnKkUiwGwj,Centaurworld: S1 (Music from the Netflix Original Series),2021,7.0,30.0
['5aPh0ss1wxu98OsNlNwSWq'],1SzUAwkoJZaiiwuAsUOvQA,Kirje Korvatunturille,2008,8.0,15.0
['5aPh0ss1wxu98OsNlNwSWq'],7qjv5Utss3yKzCIcFaRMfv,Hämärän ääniä,2008,5.0,1.0
['5aPh0ss1wxu98OsNlNwSWq'],035FtVeJiODHLlQ4ors55e,Maailma jääkukkien takana,2001,9.0,1.0
['5aPh0ss1wxu98OsNlNwSWq'],5x21r2vRG6bLmJJnNIsWhV,Legenda,1999,11.0,17.0
['5aizOVB0aFinBgezLPkhnm'],5dMuhkxPLZSmG1uGMuPEf1,Real To Me: The Way I Feel (Deluxe Edition),2023,1.0,13.0
['5aizOVB0aFinBgezLPkhnm'],1O0hQggcu3MyPbmvTPm3X7,Real To Me: The Way I Feel,2022,10.0,14.0
['5aizOVB0aFinBgezLPkhnm'],2tIadsHYDmVwJc1zS0qfkB,Real To Me (Big Machine Radio Release Special),2021,2.0,12.0
['5bCwYvvFvWOEXtO9W7p0Iv'],2crp4uVvTXxGud4aUW6Lan,Why,2020,12.0,1.0
['5bCwYvvFvWOEXtO9W7p0Iv'],2XnaOt0UUaCwPd3L2HNnbo,Broken Kids Club,2019,6.0,19.0
['5bCwYvvFvWOEXtO9W7p0Iv'],1ApKSqL9HrJqgiHMF987DO,Hell Bent,2018,5.0,18.0
['5bCwYvvFvWOEXtO9W7p0Iv'],0m57SK2fX6l1F2bDhddjLe,Voltage,2017,10.0,6.0
['5cCgzhFyRJVydeO23BqgLG'],79IVbDVMkef8jqxosbKcL2,Voices,2006,2.0,14.0
['5cCgzhFyRJVydeO23BqgLG'],3noNYURcHV9wsBSHJE0kiL,Stories And Alibis,2003,9.0,23.0
['5cDfQlhT80II3f2ECXm6oA'],11NIjsSjylCxpvRUbwiK2J,No More Tears,2022,4.0,29.0
['5cKlE8f6b26h61Ml7m052Q'],6JVabF7u0lubMct7BDUCRT,Off The Ground,2022,9.0,2.0
['5cKlE8f6b26h61Ml7m052Q'],4EyTf708dFclXh8ALP4saW,Lo-Fi Soul,2019,3.0,27.0
['5cKlE8f6b26h61Ml7m052Q'],0wm5vMyCNiABzxsbdPSVye,What's That Sound?,2017,9.0,22.0
['5cKlE8f6b26h61Ml7m052Q'],2jg7PvepCK9V7MyWM7pvzr,Better,2016,4.0,29.0
['5cKlE8f6b26h61Ml7m052Q'],146IdpLXp2zPVprmhkDEXo,Listen Up!,2012,1.0,1.0
['5cKlE8f6b26h61Ml7m052Q'],7fr1QRY9XzJIOfMZQhwANs,Listen Up!,2012,1.0,1.0
