artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
"['4F0h097DbL1XBqIbDw2xOj', '5aIqB5nVVvmFsvSdExz408', '2wOqMjp9TyABvtHdOSOTUS']",3J9w0EMOnjdxqqJlJq3s9Y,Bach & Beethoven - Wilhelm Kempff,2023,3.0,6.0
"['5aIqB5nVVvmFsvSdExz408', '1qIRoGEKXINqrCx5N1engi']",3K5dI8P4JKjxGqJaVTvxrI,John Eliot Gardiner Conducts Bach,2023,3.0,5.0
"['5aIqB5nVVvmFsvSdExz408', '4Fpuun284m7x1eAIIZGJ09', '3t8HUzpBpnAWsvLAEZ3em8']",23DIhj7HWHU28oI4uInlKA,"The Works of J.S. Bach, Vol III",2023,3.0,4.0
"['5aIqB5nVVvmFsvSdExz408', '7sm5tzJ3QMlQzX2kQI2UOz']",7D6HxRmezBBQdVc4YwJrFk,A Harmonious Journey,2023,3.0,3.0
"['5aIqB5nVVvmFsvSdExz408', '3JGdmPNIbYKNEROazLwYHA', '38dMID6i5Ed88vGR6QujED']",50rynEfEitGtazGbwPs27u,Johann Sebastian Bach: The Sonatas for Violin and Cembalo Obbligato Vol. 2,2023,3.0,3.0
"['5aIqB5nVVvmFsvSdExz408', '1qNOMmKiHvVDOhKpj2JQNV', '14v25GQOD8rsDNfF7EeDmN']",2BdJ8XLYlaPSWIc0rsgmYu,Lemniscate - Bach: The Art of Fugue,2023,3.0,3.0
"['5aIqB5nVVvmFsvSdExz408', '60adCptqwRkANTtVja0bvf']",7Lx3T43kIqykQzHtlr9Ikq,Academy of Ancient Music: Bach,2023,2.0,24.0
"['5aIqB5nVVvmFsvSdExz408', '72IF2LaP1ww4BpYnZCXZW0', '2TX00qpxQzuOQEqsDPrrxN', '7ul6aaTwGaFWq0OZhxWrpd']",6siJ7lTZRPuBM03IMqvgiK,"Bach: Cantatas, BWV 35 & 169",2023,2.0,24.0
"['5aIqB5nVVvmFsvSdExz408', '1DOVYZQwMSvbseEj5PEaSr']",1xCoWsAClJP8G3zQCGgnos,Bach: Sonatas & Partitas,2023,2.0,24.0
"['5aIqB5nVVvmFsvSdExz408', '3bAYWBSC170iRoa7KEJu5p', '60V1cu478C4wll4ctBKkY5']",6N2fYnmQmC9prpxCaFdkQc,J. S. Bach: St John Passion,2023,2.0,24.0
"['5aIqB5nVVvmFsvSdExz408', '4rc1nxbzNmD80AuHQvZv9K', '2d8zrrsWczS0N0omKGrBii', '1RkAKrHWpc4fxEGhqSlzZT', '03C9IJtseK0NX9zw53URjF', '2upCjUln8IL42BzlfVLOCl', '3H9xFVfgfG3r6HCJatmENv', '38ghpVkkvBf5wugUg4HW4G', '4uwquYq1zZAdTEG22VGAso', '0VxqNUj1W2yTGKtiJ2hJE9']",7kmgtqvyc0B4GHovNApqZ5,J.S. Bach: Orchestral Sinfonias,2023,2.0,24.0
"['5aIqB5nVVvmFsvSdExz408', '63Ck6mTBOD0wwB1DqXijBY']",7rBOGK85pjCMZWT2aNqwMU,Mimesis - Transcriptions of Bach works (Bonus Track Version),2023,2.0,24.0
