artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['3uL4UpqShC4p2x1dJutoRW'],3gEv1vpsDgaEo4TLuu0Lwz,ANTI-ICON,2020,10.0,21.0
['3uL4UpqShC4p2x1dJutoRW'],2W5rUof3EANdwzqAMtAWhF,N / O / I / S / E,2018,10.0,10.0
['3uL4UpqShC4p2x1dJutoRW'],2dWmvG2E6QqISPn80Nrs65,Hexada,2017,9.0,5.0
['3uL4UpqShC4p2x1dJutoRW'],0LioZXqkOOQV0JZLY1jyoZ,Plagues,2016,11.0,14.0
['3uL4UpqShC4p2x1dJutoRW'],0DdnuauBuHPfG8Y1pAmYVf,Blackmage,2016,7.0,3.0
['3uL4UpqShC4p2x1dJutoRW'],2t8u6j6ytQjUrvHwPSGU9p,Rituals,2016,2.0,1.0
['3uL4UpqShC4p2x1dJutoRW'],4W5z5VTjA0CpAdffhBuwes,For the Aspiring Occultist,2015,9.0,16.0
['3uL4UpqShC4p2x1dJutoRW'],7hHMpb4BpvfzX90my3wa2t,Oogabooga,2015,6.0,10.0
"['3ZqRIzadY4WYQEg4Hj2vGC', '3uOCouLFR4bVx0XeiQJSbl']",0GCgYHArclb50oaAKxnVzv,Another Flower,2020,12.0,4.0
['3uOCouLFR4bVx0XeiQJSbl'],21TNyS8pLmfnHYM9YfL6Y2,I Know This Much Is True (Music From The HBO Series),2020,6.0,13.0
['3uOCouLFR4bVx0XeiQJSbl'],4ttO0PJTuNrFLklwzRKPO0,I Know This Much Is True (Music From The HBO Series),2020,6.0,13.0
['3uOCouLFR4bVx0XeiQJSbl'],1d1Qik67FQ6ss7GOpgcVdJ,I Know This Much Is True (Music From The HBO Series),2020,6.0,13.0
['3uOCouLFR4bVx0XeiQJSbl'],0HmRnROLy50hp08rcpvvuA,I Know This Much Is True (Music From The HBO Series),2020,6.0,13.0
"['0ylwMbxWG8uQUEn739mQtv', '0DaFZMmQcP9Yj7MU5oQIJA', '3uOCouLFR4bVx0XeiQJSbl']",7nZyrBtxctUvzrrYFAMrqc,Native Clays,2017,1.0,27.0
['3uOCouLFR4bVx0XeiQJSbl'],6RIxSz62ARCq1iXXqMRtTT,Jane 12-21,2014,9.0,9.0
['3uOCouLFR4bVx0XeiQJSbl'],2t2ncNWP917WChaKz3tnTH,Wind In Lonely Fences 1970 - 2011,2013,11.0,25.0
['3uOCouLFR4bVx0XeiQJSbl'],1WWcacsiLhViXL44OCdtft,Jane 1-11,2013,5.0,27.0
['3uOCouLFR4bVx0XeiQJSbl'],06EPBJDXk3E46xRTpVUhpf,Bandits of Stature,2012,11.0,27.0
"['7uXzqanGH5YKBVLs3cXHk5', '3uOCouLFR4bVx0XeiQJSbl', '3ZqRIzadY4WYQEg4Hj2vGC']",79CiLRhOgW6bYfeB38SrQH,Winter Garden,2011,11.0,21.0
['3uOCouLFR4bVx0XeiQJSbl'],3J8bwfrUYrzmuE0IqFLhUS,In The Mist,2011,9.0,27.0
"['3ZqRIzadY4WYQEg4Hj2vGC', '3uOCouLFR4bVx0XeiQJSbl']",1O5oSyE5rPE7heWZYjWy5c,Bordeaux,2011,2.0,18.0
"['3uOCouLFR4bVx0XeiQJSbl', '0ylwMbxWG8uQUEn739mQtv']",4MkltPGsJEJqvy96IkHOtZ,Little Windows,2010,4.0,12.0
"['3uOCouLFR4bVx0XeiQJSbl', '0ylwMbxWG8uQUEn739mQtv']",2oIERbUaR3fGcLky8BmwHr,Candylion,2009,5.0,18.0
"['3uOCouLFR4bVx0XeiQJSbl', '0ylwMbxWG8uQUEn739mQtv']",3Mq8aLspZoGPC4IRckwN58,A Song for Lost Blossoms,2008,9.0,30.0
"['3ZqRIzadY4WYQEg4Hj2vGC', '3uOCouLFR4bVx0XeiQJSbl']",37xpeBIwCGwIYKpyakvJZR,After The Night Falls,2007,6.0,15.0
"['3ZqRIzadY4WYQEg4Hj2vGC', '3uOCouLFR4bVx0XeiQJSbl']",6dU0dQiQo7PF95dwQKKhlN,Before the Day Breaks,2007,6.0,15.0
['3uOCouLFR4bVx0XeiQJSbl'],74U382QRUWf0vA9PaBnZW6,Avalon Sutra,2005,1.0,18.0
