artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['002nyxOMwdc9EgNEo7ETcF'],6wmlHfB7IGAhvrDf1DZzJc,"Plant Medicine Journey: Musica Medicina, Vol. 1",2022,12.0,21.0
['002nyxOMwdc9EgNEo7ETcF'],443eodN0gShRRS0r7q7ymT,Sound Temple,2019,10.0,1.0
['002nyxOMwdc9EgNEo7ETcF'],1H0nfTovjOK3PQ5xQYwInh,Healing Radiance,2018,5.0,1.0
['002nyxOMwdc9EgNEo7ETcF'],6bty1hqQf3wuG8TgmfOE2V,Radiance Mixes (Tibetan Bowls with the Mantras of Deva Premal),2017,3.0,31.0
['002nyxOMwdc9EgNEo7ETcF'],3VoHMFQzFr9v163HXRvfo2,Deep Peace Experience,2015,6.0,9.0
['003kZCrZhoxCckVJ2jCiJC'],4kZXNwxDqgcTCl3xCxmSi4,A Cure For Loneliness,2016,4.0,8.0
['003kZCrZhoxCckVJ2jCiJC'],1VGWYUsqRUTXFMIJfBTKfj,Long Line,2005,11.0,22.0
['003kZCrZhoxCckVJ2jCiJC'],6XZwHDglhO4A0C5Pa4xO4Q,Sleepless,2002,9.0,10.0
['003kZCrZhoxCckVJ2jCiJC'],2NfhZqzT0X6IQt0r695ouz,Fool's Parade,1998,1.0,1.0
['003kZCrZhoxCckVJ2jCiJC'],1mcmCejgPh8HcSJ0IZmcMU,Up To No Good,1990,1.0,1.0
"['3s7YdRtXv8IJWIaRMkE6qx', '009IKtLg2rg2QMbvNtWaoh']",1v4uO58XCP6T8xyBjtBdQK,Hyginus,2020,5.0,20.0
['009IKtLg2rg2QMbvNtWaoh'],51DVhwoE6EHvoHVE97idR1,Machine Money Pain in Glory,2018,8.0,31.0
['009IKtLg2rg2QMbvNtWaoh'],0mzK1abHCqyhzZOUEwu0nR,Masterpiece,2015,7.0,5.0
['009IKtLg2rg2QMbvNtWaoh'],3nShoG48Wj1cJzbg6B3RJe,Africa Redemption,2014,9.0,16.0
['009IKtLg2rg2QMbvNtWaoh'],7eRm8ygAfUPEKqIPpNZHc6,The Sound,2014,4.0,15.0
['009IKtLg2rg2QMbvNtWaoh'],0EUaIfzNRdEkiP4YJ7OJqp,The Sound,2014,4.0,15.0
['009IKtLg2rg2QMbvNtWaoh'],76OH54D4bQwvgwXhvZEppc,Pressure (feat. Ronnie Laws),1979,1.0,1.0
['00BZcQJXuUSMVEB9FVqgUl'],4U26iuzHXxLzFfZwDCqN3n,Information Overload,2022,3.0,11.0
['00BZcQJXuUSMVEB9FVqgUl'],4umzCJc3ywOp6sIzUXghPo,Information Overload,2022,3.0,11.0
['00TKPo9MxwZ0j4ooveIxWZ'],6XeL8rkWXe5pUdg2uGqmak,single.,2018,6.0,15.0
['00TKPo9MxwZ0j4ooveIxWZ'],4UJqaXF4HJV5bozjayxTbR,single.,2018,6.0,15.0
['00YglmekVqqlHbv8N8erfv'],01dASvFzKTNfT8vDShjVnM,FAVORITAS CON AMOR Vol. 2,2023,1.0,27.0
