artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['0UMJlMGr85C0C5D7wmB0Ik'],0T2AE8uzds9x1msXA6Y6UE,Bare Bones,2020,10.0,9.0
['0UMJlMGr85C0C5D7wmB0Ik'],5rH5gbmDe2UbfVegnX7zy2,Christmas with T. Graham Brown,2015,10.0,2.0
['0UMJlMGr85C0C5D7wmB0Ik'],7jngv4ZH7HLK0ukNLnDyPB,The Classic Country Collection,2015,4.0,3.0
['0UMJlMGr85C0C5D7wmB0Ik'],0cVmB4JxjmnsUsDLLTzEQ5,Snapshot: T.Graham Brown,2015,3.0,10.0
['0UMJlMGr85C0C5D7wmB0Ik'],5DSzl0wqmayvg9OBuVivmk,Country Masters: T. Graham Brown,2015,3.0,3.0
['0UMJlMGr85C0C5D7wmB0Ik'],3V6cjulKVvLJ7x3FYqGOag,Forever Changed,2015,1.0,27.0
['0UMJlMGr85C0C5D7wmB0Ik'],6lko27hyiXoaGurNQCkxS4,I Tell It Like It Used to Be,2014,7.0,3.0
['0UMJlMGr85C0C5D7wmB0Ik'],0xirXfPBzuVT5q9z9USNpl,The Last Resort,2013,9.0,8.0
['0UMJlMGr85C0C5D7wmB0Ik'],2wWXGhISXDL4yPbujuHEMr,2013 Country Christmas Favorites,2012,12.0,18.0
['0UMJlMGr85C0C5D7wmB0Ik'],3yaEHjBTmw9Cnh0wqHmvTc,Pick Up On Mr. T - [The Dave Cash Collection],2011,5.0,9.0
['0UMJlMGr85C0C5D7wmB0Ik'],2xBCWhmV4evU7hlEgA2iw7,Timeless Country: T. Graham Brown,2011,2.0,1.0
['0UMJlMGr85C0C5D7wmB0Ik'],4NEBuYPL6Jjged294ynldz,Legends Of Country,2010,9.0,16.0
['0UMJlMGr85C0C5D7wmB0Ik'],4OFCJCLJ5owlBeAxpzhTsi,T. Graham Brown,2010,1.0,1.0
['0UMJlMGr85C0C5D7wmB0Ik'],263wv2eP12C6KQIkBLiEeb,Darlene,2008,11.0,17.0
['0UMJlMGr85C0C5D7wmB0Ik'],2sO3vi29mA05OXOUN0EtMv,From a Stronger Place,2008,2.0,12.0
['0UMJlMGr85C0C5D7wmB0Ik'],7skZFpJ23zXWyLpa7D4pww,American Legend,2008,,
['0UMJlMGr85C0C5D7wmB0Ik'],6ywuaqWxSFtUYfX69mzKsP,Darlene - The Best Of,2005,9.0,15.0
['0UMJlMGr85C0C5D7wmB0Ik'],65orOCFB7eP9DhcKgyyUQm,Choice Country Cuts,2005,8.0,19.0
['0UMJlMGr85C0C5D7wmB0Ik'],5TfrZs6iM31rQOQz1rttv1,At His Best,2005,,
['0UMJlMGr85C0C5D7wmB0Ik'],1TmqpatbO8PgvEQvBhdYo8,Live at Billy Bob's Texas,2004,5.0,4.0
['0UMJlMGr85C0C5D7wmB0Ik'],1DnVXVCrqWEv1y9vKv5Rwr,The Next Right Thing,2003,5.0,20.0
['0UMJlMGr85C0C5D7wmB0Ik'],7CC4tg5G6qoQR0coqkFp8f,LIVES!,2001,6.0,5.0
['0UMJlMGr85C0C5D7wmB0Ik'],5sAGRUnjcKStOXhDKPE10G,Best Of T. Graham Brown,1997,3.0,4.0
['0UMJlMGr85C0C5D7wmB0Ik'],37h9Piw16ne1sxRopr8JD8,Super Hits,1995,5.0,2.0
['0UMJlMGr85C0C5D7wmB0Ik'],6CWBj0vummw6e50QUJF1Nx,You Can't Take It With You,1991,1.0,1.0
['0UMJlMGr85C0C5D7wmB0Ik'],0v6ADJ2LBbt59Y2gSn5vex,Bumper To Bumper,1990,1.0,1.0
['0UMJlMGr85C0C5D7wmB0Ik'],7uiqvJVtWz9xo03EMzRWW1,Come As You Were,1988,1.0,1.0
['0UMJlMGr85C0C5D7wmB0Ik'],5XgYjFkU8Cnf4EgVPfLiE2,Brilliant Conversationalist,1987,5.0,30.0
['0UMJlMGr85C0C5D7wmB0Ik'],5NcZ5ee9GsPcDUQFl5JJs4,I Tell It Like It Used To Be,1986,1.0,1.0
['0Up3H1s9ME6FivFcOz6qte'],2Zs8jsRPSMBOrZ0SHrHb21,Smoking Gun,2022,5.0,27.0
['0Up3H1s9ME6FivFcOz6qte'],7rMMup5wZwC8Uq0V8J9vhj,Source Material,2021,11.0,19.0
['0Up3H1s9ME6FivFcOz6qte'],45YqsEtwX8y55UxoUyqyQP,Snakes and Birds,2020,10.0,23.0
"['0Up3H1s9ME6FivFcOz6qte', '2IrwOUIHQmfLRZE94B2wrL']",4PWKq0sB5CExXBjGtGFHSp,The Donner Party,2019,8.0,16.0
['0Up3H1s9ME6FivFcOz6qte'],3vF9djgkwQNuutVXuz4MWn,Flux,2018,6.0,15.0
['0Up3H1s9ME6FivFcOz6qte'],0B9tBeEWRc2gwTzvUhzRI3,The Way Through,2017,10.0,24.0
['0Up3H1s9ME6FivFcOz6qte'],5zwsfTne20WGaPYA1xFXkO,Forest Agates,2016,11.0,14.0
['0Up3H1s9ME6FivFcOz6qte'],76SSlGJc0aIc6eQE3CTIpt,The Ocean,2013,9.0,23.0
['0Up3H1s9ME6FivFcOz6qte'],3z8IUP0MecZyKT8UK32zpP,The Veil,2011,2.0,12.0
['0UvgR4VckgdEkBhTOjxwCc'],3uASEAyUOxnun9CE7WX7mr,Interstella,2022,3.0,8.0
['0V10XqRWsn8EGBwzCVAE7V'],1kfxk0qGBxeZcv9qeAx2Rp,Andamos por Todos Lados,2022,8.0,26.0
['0V10XqRWsn8EGBwzCVAE7V'],4aihPpOb5NQMtDmBZnXBEc,Corridos de Encargo Vol. 3,2022,7.0,25.0
['0V10XqRWsn8EGBwzCVAE7V'],4o7b73df6vl8NylH4lA65p,"Corridos de Encargo, Vol. 2",2022,2.0,2.0
['0V10XqRWsn8EGBwzCVAE7V'],7pBPQd5kSMKpgijUHWAtIe,Vamos Avanzando,2021,12.0,24.0
['0V10XqRWsn8EGBwzCVAE7V'],3LUK60xWGOFus4DuEFMDIh,Corridos de Encargo,2021,8.0,6.0
['0V10XqRWsn8EGBwzCVAE7V'],2vPSxikHfkH7SaOjY4bqvh,El de la Super Rameada,2020,4.0,1.0
['0V8tQXWkKPD5SxsB2moGew'],60W30meyWYbEktQGECkaT1,Handwash Sesh: Lofi Chill Beats For Your Quarantine,2020,3.0,17.0
['0V8tQXWkKPD5SxsB2moGew'],241ZualMek1rSjdVHCKsBJ,Sleigh Ride / Fireside (Deluxe Explicit),2018,11.0,15.0
['0V8tQXWkKPD5SxsB2moGew'],6433wI9ssD22GNKTllUbRC,Sleigh Ride / Fireside,2018,11.0,15.0
['0V8tQXWkKPD5SxsB2moGew'],65Fri9rvYfW3qLcrbzzJjy,Song Voyage,2016,12.0,14.0
"['3bewwaRMeZDucydAYOR5ht', '0V8tQXWkKPD5SxsB2moGew']",2xb40R0eAkEo4PLahF1J3X,Love Is Like Drugs,2016,11.0,4.0
['0V8tQXWkKPD5SxsB2moGew'],4CWOYnYqG87rvcT1Qso486,Songify the Election: 2016,2016,10.0,25.0
['0V8tQXWkKPD5SxsB2moGew'],6tenkmxCYWUnuU1aUo2iSJ,"Happy Sad Songs, Vol. 2",2016,9.0,7.0
['0VNWuGf8SMVU2AerpdhMbP'],5xh9UiuCllBPXhDiIwn043,Wilderness of Mirrors,2022,9.0,16.0
['0VNWuGf8SMVU2AerpdhMbP'],0ggygybxG3Il8OWZoelu6B,Wilderness of Mirrors,2022,9.0,16.0
['0VNWuGf8SMVU2AerpdhMbP'],4fx4E2Ok4sW9JKmvaWHnra,Wilderness of Mirrors,2022,9.0,16.0
['0VNWuGf8SMVU2AerpdhMbP'],0q0Wipc6wugtwvck7IZ0Oj,Live at Levitation,2021,3.0,26.0
